,open_time,,open,close,,,highest,lowest,volume,amount,market_name
0,1583884800,2020/3/11,1.30E-07,1.40E-07, 194.61 , 0.000027 ,1.40E-07,1.30E-07,281690.0704,0.038028159,BKY_ETH
1,1583971200,2020/3/12,1.40E-07,1.40E-07, 106.90 , 0.000015 ,1.40E-07,1.40E-07,0,0,BKY_ETH
2,1584057600,2020/3/13,1.40E-07,1.40E-07, 134.06 , 0.000019 ,1.40E-07,1.40E-07,0,0,BKY_ETH
3,1584144000,2020/3/14,1.40E-07,1.40E-07, 122.51 , 0.000017 ,1.40E-07,1.40E-07,0,0,BKY_ETH
4,1584230400,2020/3/15,1.40E-07,1.40E-07, 123.82 , 0.000017 ,1.40E-07,1.40E-07,0,0,BKY_ETH
5,1584316800,2020/3/16,1.80E-07,1.70E-07, 91.78 , 0.000016 ,1.80E-07,1.60E-07,245589850.8,42.30499112,BKY_ETH
6,1584403200,2020/3/17,1.70E-07,1.80E-07, 115.67 , 0.000021 ,1.90E-07,1.60E-07,662028513.9,117.1271467,BKY_ETH
7,1584489600,2020/3/18,2.00E-07,2.00E-07, 118.11 , 0.000024 ,2.40E-07,1.90E-07,578289339.9,121.4156171,BKY_ETH
8,1584576000,2020/3/19,2.30E-07,2.20E-07, 136.30 , 0.000030 ,2.30E-07,2.00E-07,537729863.3,116.0540446,BKY_ETH
9,1584662400,2020/3/20,2.30E-07,2.20E-07, 133.46 , 0.000029 ,2.30E-07,2.00E-07,365962259.2,79.15798858,BKY_ETH
10,1584748800,2020/3/21,2.30E-07,2.20E-07, 132.66 , 0.000029 ,2.40E-07,2.00E-07,245521315.3,53.51081141,BKY_ETH
11,1584835200,2020/3/22,2.20E-07,2.20E-07, 122.32 , 0.000027 ,2.40E-07,2.20E-07,16970607.97,3.798457784,BKY_ETH
12,1584921600,2020/3/23,2.20E-07,2.40E-07, 135.92 , 0.000033 ,2.40E-07,2.20E-07,445535478.8,102.1452421,BKY_ETH
13,1585008000,2020/3/24,2.40E-07,2.20E-07, 138.43 , 0.000030 ,2.40E-07,2.20E-07,608924567.7,139.2614633,BKY_ETH
14,1585094400,2020/3/25,2.30E-07,2.40E-07, 136.13 , 0.000033 ,2.40E-07,2.20E-07,1186964826,272.0116374,BKY_ETH
15,1585180800,2020/3/26,2.30E-07,2.60E-07, 138.40 , 0.000036 ,2.60E-07,2.20E-07,842934667.1,208.0756065,BKY_ETH
16,1585267200,2020/3/27,2.60E-07,2.70E-07, 133.00 , 0.000036 ,2.90E-07,2.40E-07,555425992.6,150.8652055,BKY_ETH
17,1585353600,2020/3/28,2.80E-07,2.70E-07, 131.00 , 0.000035 ,2.90E-07,2.70E-07,577034092,161.4185825,BKY_ETH
18,1585440000,2020/3/29,2.70E-07,2.80E-07, 126.50 , 0.000035 ,2.90E-07,2.70E-07,593578184.1,166.4101187,BKY_ETH
19,1585526400,2020/3/30,2.70E-07,2.80E-07, 132.09 , 0.000037 ,2.90E-07,2.70E-07,575243456,160.852739,BKY_ETH
20,1585612800,2020/3/31,2.80E-07,2.80E-07, 132.72 , 0.000037 ,2.90E-07,2.70E-07,567387583,159.2957626,BKY_ETH
21,1585699200,2020/4/1,2.80E-07,2.70E-07, 132.03 , 0.000036 ,3.00E-07,2.40E-07,580745946.6,157.0929537,BKY_ETH
22,1585785600,2020/4/2,2.70E-07,2.70E-07, 141.28 , 0.000038 ,2.90E-07,2.40E-07,517064171.7,139.8322307,BKY_ETH
23,1585872000,2020/4/3,2.40E-07,2.70E-07, 142.25 , 0.000038 ,2.90E-07,2.40E-07,576723550,153.2769635,BKY_ETH
24,1585958400,2020/4/4,2.90E-07,2.50E-07, 145.30 , 0.000036 ,3.00E-07,2.30E-07,577356337.6,152.4290097,BKY_ETH
25,1586044800,2020/4/5,2.60E-07,2.70E-07, 145.28 , 0.000039 ,2.90E-07,2.40E-07,581161996.2,152.6061192,BKY_ETH
26,1586131200,2020/4/6,2.60E-07,2.60E-07, 171.31 , 0.000045 ,2.70E-07,2.40E-07,563088194.6,143.6044201,BKY_ETH
27,1586217600,2020/4/7,2.50E-07,2.50E-07, 168.86 , 0.000042 ,2.70E-07,2.40E-07,524819484.9,131.1626338,BKY_ETH
28,1586304000,2020/4/8,2.50E-07,2.60E-07, 173.11 , 0.000045 ,2.70E-07,2.40E-07,582376526.5,149.8778522,BKY_ETH
29,1586390400,2020/4/9,2.60E-07,2.50E-07, 169.50 , 0.000042 ,2.70E-07,2.50E-07,568531998.7,147.4718828,BKY_ETH
30,1586476800,2020/4/10,2.50E-07,2.60E-07, 157.81 , 0.000041 ,2.80E-07,2.50E-07,573982372.5,151.4183659,BKY_ETH
31,1586563200,2020/4/11,2.70E-07,2.80E-07, 158.33 , 0.000044 ,2.90E-07,2.50E-07,590232842.1,160.1209451,BKY_ETH
32,1586649600,2020/4/12,2.70E-07,2.80E-07, 161.58 , 0.000045 ,2.90E-07,2.60E-07,593803771.5,162.4304695,BKY_ETH
33,1586736000,2020/4/13,2.80E-07,2.70E-07, 156.29 , 0.000042 ,2.90E-07,2.50E-07,579554337.8,156.6530839,BKY_ETH
34,1586822400,2020/4/14,2.60E-07,2.80E-07, 158.45 , 0.000044 ,3.00E-07,2.40E-07,575599671.9,155.8381668,BKY_ETH
35,1586908800,2020/4/15,2.60E-07,3.00E-07, 154.00 , 0.000046 ,3.20E-07,2.60E-07,374779695.3,105.5626868,BKY_ETH
36,1586995200,2020/4/16,2.90E-07,2.20E-07, 172.26 , 0.000038 ,3.00E-07,2.10E-07,329848208.7,81.41756247,BKY_ETH
