,open_time,,open,close,,,highest,lowest,volume,amount,market_name
0,1575331200,2019/12/3,0.00000399,0.00000399,7293.48,0.029100985,0.00000399,0.00000399,200,0.000798,CALL_BTC
1,1575417600,2019/12/4,0.00000385,2.00E-07,7196.63,0.001439326,0.0000039,1.00E-07,199366,0.38060102,CALL_BTC
2,1575504000,2019/12/5,2.00E-07,1.00E-07,7389.06,0.000738906,3.40E-07,1.00E-07,3902086,0.63961156,CALL_BTC
3,1575590400,2019/12/6,1.50E-07,1.60E-07,7527.78,0.001204445,3.50E-07,8.00E-08,3885093,0.75203714,CALL_BTC
4,1575676800,2019/12/7,2.90E-07,3.90E-07,7488.21,0.002920402,3.90E-07,1.90E-07,3417804,1.07334266,CALL_BTC
5,1575763200,2019/12/8,2.60E-07,5.70E-07,7510.58,0.004281031,5.80E-07,2.60E-07,3153155,1.37886421,CALL_BTC
6,1575849600,2019/12/9,5.00E-07,3.20E-07,7339.63,0.002348682,5.90E-07,3.00E-07,2145009,1.11072571,CALL_BTC
7,1575936000,2019/12/10,4.90E-07,4.10E-07,7224.13,0.002961893,4.90E-07,2.70E-07,3464582.286,1.32425768,CALL_BTC
8,1576022400,2019/12/11,3.60E-07,3.70E-07,7210,0.0026677,4.60E-07,3.20E-07,1981092,0.832922431,CALL_BTC
9,1576108800,2019/12/12,2.70E-07,4.10E-07,7198.1,0.002951221,4.40E-07,2.70E-07,1103313,0.4314215,CALL_BTC
10,1576195200,2019/12/13,3.00E-07,3.60E-07,7257.33,0.002612639,3.70E-07,2.60E-07,572218,0.19977982,CALL_BTC
11,1576281600,2019/12/14,3.00E-07,2.40E-07,7064.05,0.001695372,3.40E-07,2.40E-07,3442743,1.08081688,CALL_BTC
12,1576368000,2019/12/15,2.40E-07,2.30E-07,7118.59,0.001637276,3.40E-07,2.30E-07,3720388,1.03581017,CALL_BTC
13,1576454400,2019/12/16,2.30E-07,3.00E-07,6891.98,0.002067594,3.40E-07,2.30E-07,4146611,1.16306565,CALL_BTC
