,open_time,,open,close,,,highest,lowest,volume,amount,market_name
0,1575504000,2019/12/5,2.00E-07,2.90E-07,"7,389.06",0.00214,0.000002,1.00E-08,446508,0.0319833,FLXC_BTC
1,1575590400,2019/12/6,2.90E-07,4.00E-08,"7,527.78",0.0003,3.00E-07,2.00E-08,178318,0.00581723,FLXC_BTC
2,1575676800,2019/12/7,5.00E-08,9.00E-08,"7,488.21",0.00067,2.30E-07,3.00E-08,132273,0.00565511,FLXC_BTC
3,1575763200,2019/12/8,8.00E-08,5.00E-08,"7,510.58",0.00038,8.00E-08,4.00E-08,15234,0.00081072,FLXC_BTC
4,1575849600,2019/12/9,5.00E-08,5.00E-08,"7,339.63",0.00037,5.00E-08,5.00E-08,555,0.00002775,FLXC_BTC
5,1575936000,2019/12/10,1.00E-07,1.10E-07,"7,224.13",0.00079,2.10E-07,6.00E-08,46594,0.00363082,FLXC_BTC
6,1576022400,2019/12/11,1.60E-07,1.60E-07,"7,210.00",0.00115,1.60E-07,1.60E-07,200,0.000032,FLXC_BTC
7,1576108800,2019/12/12,1.40E-07,1.40E-07,"7,198.10",0.00101,1.60E-07,1.40E-07,4680,0.0006576,FLXC_BTC
8,1576195200,2019/12/13,1.40E-07,1.40E-07,"7,257.33",0.00102,1.40E-07,1.40E-07,0,0,FLXC_BTC
9,1576281600,2019/12/14,1.40E-07,1.40E-07,"7,064.05",0.00099,1.40E-07,1.40E-07,2890,0.0004046,FLXC_BTC
10,1576368000,2019/12/15,1.40E-07,1.40E-07,"7,118.59",0.001,1.40E-07,1.40E-07,0,0,FLXC_BTC
11,1576454400,2019/12/16,1.40E-07,1.40E-07,"6,891.98",0.00096,1.40E-07,1.40E-07,10100,0.001414,FLXC_BTC
12,1576540800,2019/12/17,1.40E-07,1.40E-07,"6,624.62",0.00093,1.40E-07,1.40E-07,0,0,FLXC_BTC
13,1576627200,2019/12/18,1.10E-07,3.00E-08,"7,277.83",0.00022,1.10E-07,3.00E-08,29566,0.00100698,FLXC_BTC
14,1576713600,2019/12/19,3.00E-08,3.00E-08,"7,150.30",0.00021,3.00E-08,3.00E-08,0,0,FLXC_BTC
15,1576800000,2019/12/20,1.10E-07,1.10E-07,"7,187.83",0.00079,1.10E-07,1.10E-07,2545,0.00027995,FLXC_BTC
16,1576886400,2019/12/21,1.10E-07,1.10E-07,"7,132.75",0.00078,1.10E-07,1.10E-07,0,0,FLXC_BTC
17,1576972800,2019/12/22,4.00E-08,4.00E-08,"7,501.47",0.0003,4.00E-08,4.00E-08,23889,0.00095556,FLXC_BTC
18,1577059200,2019/12/23,4.00E-08,4.00E-08,"7,317.09",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
19,1577145600,2019/12/24,4.00E-08,4.00E-08,"7,255.77",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
20,1577232000,2019/12/25,4.00E-08,4.00E-08,"7,204.63",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
21,1577318400,2019/12/26,4.00E-08,4.00E-08,"7,202.00",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
22,1577404800,2019/12/27,4.00E-08,4.00E-08,"7,255.95",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
23,1577491200,2019/12/28,4.00E-08,4.00E-08,"7,316.14",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
24,1577577600,2019/12/29,4.00E-08,4.00E-08,"7,387.86",0.0003,4.00E-08,4.00E-08,0,0,FLXC_BTC
25,1577664000,2019/12/30,4.00E-08,4.00E-08,"7,246.00",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
26,1577750400,2019/12/31,4.00E-08,4.00E-08,"7,195.23",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
27,1577836800,2020/1/1,4.00E-08,4.00E-08,"7,200.85",0.00029,4.00E-08,4.00E-08,0,0,FLXC_BTC
28,1577923200,2020/1/2,2.00E-08,1.10E-07,"6,965.71",0.00077,1.10E-07,2.00E-08,86000,0.00181,FLXC_BTC
29,1578009600,2020/1/3,1.10E-07,1.10E-07,"7,344.96",0.00081,1.10E-07,1.10E-07,0,0,FLXC_BTC
30,1578096000,2020/1/4,1.10E-07,1.10E-07,"7,354.11",0.00081,1.10E-07,1.10E-07,0,0,FLXC_BTC
31,1578182400,2020/1/5,1.10E-07,1.10E-07,"7,358.75",0.00081,1.10E-07,1.10E-07,0,0,FLXC_BTC
32,1578268800,2020/1/6,1.10E-07,1.10E-07,"7,758.00",0.00085,1.10E-07,1.10E-07,0,0,FLXC_BTC
33,1578355200,2020/1/7,1.10E-07,1.10E-07,"8,147.89",0.0009,1.10E-07,1.10E-07,0,0,FLXC_BTC
34,1578441600,2020/1/8,3.00E-08,9.00E-08,"8,055.98",0.00073,9.00E-08,2.00E-08,28066,0.00094094,FLXC_BTC
35,1578528000,2020/1/9,4.00E-08,2.00E-08,"7,817.76",0.00016,4.00E-08,2.00E-08,17500,0.00045,FLXC_BTC
36,1578614400,2020/1/10,2.00E-08,2.00E-08,"8,197.02",0.00016,2.00E-08,2.00E-08,0,0,FLXC_BTC
37,1578700800,2020/1/11,2.00E-08,2.00E-08,"8,020.01",0.00016,2.00E-08,2.00E-08,0,0,FLXC_BTC
38,1578787200,2020/1/12,2.00E-08,2.00E-08,"8,184.82",0.00016,2.00E-08,2.00E-08,0,0,FLXC_BTC
39,1578873600,2020/1/13,2.00E-08,2.00E-08,"8,110.34",0.00016,2.00E-08,2.00E-08,0,0,FLXC_BTC
40,1578960000,2020/1/14,8.00E-08,8.00E-08,"8,812.64",0.00071,8.00E-08,1.00E-08,25662,0.00031262,FLXC_BTC
41,1579046400,2020/1/15,8.00E-08,8.00E-08,"8,820.01",0.00071,8.00E-08,8.00E-08,8615,0.0006892,FLXC_BTC
42,1579132800,2020/1/16,1.00E-08,7.00E-08,"8,720.00",0.00061,7.00E-08,1.00E-08,112040,0.0011948,FLXC_BTC
43,1579219200,2020/1/17,7.00E-08,5.00E-08,"8,915.26",0.00045,7.00E-08,1.00E-08,88345,0.00182333,FLXC_BTC
44,1579305600,2020/1/18,4.00E-08,6.00E-08,"8,915.96",0.00053,6.00E-08,2.00E-08,44900,0.000908,FLXC_BTC
45,1579392000,2020/1/19,6.00E-08,6.00E-08,"8,701.70",0.00052,6.00E-08,6.00E-08,0,0,FLXC_BTC
46,1579478400,2020/1/20,3.00E-08,3.00E-08,"8,642.35",0.00026,3.00E-08,3.00E-08,1622,0.00004866,FLXC_BTC
47,1579564800,2020/1/21,3.00E-08,3.00E-08,"8,736.03",0.00026,3.00E-08,1.00E-08,119800,0.001274,FLXC_BTC
48,1579651200,2020/1/22,3.00E-08,3.00E-08,"8,682.82",0.00026,3.00E-08,3.00E-08,100,0.000003,FLXC_BTC
49,1579737600,2020/1/23,3.00E-08,3.00E-08,"8,405.15",0.00025,3.00E-08,3.00E-08,50,0.0000015,FLXC_BTC
50,1579824000,2020/1/24,3.00E-08,3.00E-08,"8,439.00",0.00025,3.00E-08,3.00E-08,30,9.00E-07,FLXC_BTC
51,1579910400,2020/1/25,1.00E-08,3.00E-08,"8,340.58",0.00025,3.00E-08,1.00E-08,27923.21875,0.000351232,FLXC_BTC
52,1579996800,2020/1/26,3.00E-08,2.00E-08,"8,615.00",0.00017,3.00E-08,1.00E-08,825030,0.00885897,FLXC_BTC
53,1580083200,2020/1/27,2.00E-08,2.00E-08,"8,907.86",0.00018,2.00E-08,2.00E-08,875,0.0000175,FLXC_BTC
54,1580169600,2020/1/28,1.00E-08,1.00E-08,"9,375.00",0.00009,1.00E-08,1.00E-08,3200,0.000032,FLXC_BTC
55,1580256000,2020/1/29,1.00E-08,1.00E-08,"9,302.58",0.00009,1.00E-08,1.00E-08,1000,0.00001,FLXC_BTC
56,1580342400,2020/1/30,1.00E-08,1.00E-08,"9,513.62",0.0001,1.00E-08,1.00E-08,28593,0.00028593,FLXC_BTC
57,1580428800,2020/1/31,1.00E-08,1.00E-08,"9,352.89",0.00009,1.00E-08,1.00E-08,12261,0.00012261,FLXC_BTC
58,1580515200,2020/2/1,1.00E-08,1.00E-08,"9,384.61",0.00009,1.00E-08,1.00E-08,4918,0.00004918,FLXC_BTC
59,1580601600,2020/2/2,1.00E-08,1.00E-08,"9,331.50",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
60,1580688000,2020/2/3,1.00E-08,1.00E-08,"9,292.24",0.00009,1.00E-08,1.00E-08,118956,0.00118956,FLXC_BTC
61,1580774400,2020/2/4,1.00E-08,1.00E-08,"9,197.02",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
62,1580860800,2020/2/5,2.00E-08,2.00E-08,"9,612.02",0.00019,2.00E-08,2.00E-08,1400,0.000028,FLXC_BTC
63,1580947200,2020/2/6,2.00E-08,2.00E-08,"9,772.00",0.0002,2.00E-08,2.00E-08,1667,0.00003334,FLXC_BTC
64,1581033600,2020/2/7,2.00E-08,2.00E-08,"9,727.86",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
65,1581120000,2020/2/8,2.00E-08,2.00E-08,"9,895.01",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
66,1581206400,2020/2/9,2.00E-08,2.00E-08,"10,137.86",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
67,1581292800,2020/2/10,2.00E-08,2.00E-08,"9,851.83",0.0002,2.00E-08,2.00E-08,1444,0.00002888,FLXC_BTC
68,1581379200,2020/2/11,1.00E-08,2.00E-08,"10,074.10",0.0002,2.00E-08,1.00E-08,30000,0.0005,FLXC_BTC
69,1581465600,2020/2/12,2.00E-08,2.00E-08,"10,325.27",0.00021,2.00E-08,2.00E-08,0,0,FLXC_BTC
70,1581552000,2020/2/13,1.00E-08,2.00E-08,"10,228.07",0.0002,2.00E-08,1.00E-08,16300,0.000189,FLXC_BTC
71,1581638400,2020/2/14,2.00E-08,2.00E-08,"10,344.29",0.00021,2.00E-08,2.00E-08,0,0,FLXC_BTC
72,1581724800,2020/2/15,2.00E-08,2.00E-08,"9,904.72",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
73,1581811200,2020/2/16,2.00E-08,2.00E-08,"9,941.41",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
74,1581897600,2020/2/17,2.00E-08,2.00E-08,"9,706.00",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
75,1581984000,2020/2/18,2.00E-08,2.00E-08,"10,164.69",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
76,1582070400,2020/2/19,2.00E-08,2.00E-08,"9,593.79",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
77,1582156800,2020/2/20,2.00E-08,2.00E-08,"9,596.42",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
78,1582243200,2020/2/21,2.00E-08,2.00E-08,"9,677.90",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
79,1582329600,2020/2/22,2.00E-08,2.00E-08,"9,650.86",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
80,1582416000,2020/2/23,2.00E-08,2.00E-08,"9,949.58",0.0002,2.00E-08,2.00E-08,0,0,FLXC_BTC
81,1582502400,2020/2/24,2.00E-08,2.00E-08,"9,656.13",0.00019,2.00E-08,2.00E-08,0,0,FLXC_BTC
82,1582588800,2020/2/25,1.00E-08,1.00E-08,"9,314.10",0.00009,1.00E-08,1.00E-08,9026,0.00009026,FLXC_BTC
83,1582675200,2020/2/26,1.00E-08,1.00E-08,"8,794.26",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
84,1582761600,2020/2/27,1.00E-08,1.00E-08,"8,811.61",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
85,1582848000,2020/2/28,1.00E-08,1.00E-08,"8,690.00",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
86,1582934400,2020/2/29,1.00E-08,1.00E-08,"8,523.61",0.00009,1.00E-08,1.00E-08,30825,0.00030825,FLXC_BTC
87,1583020800,2020/3/1,1.00E-08,1.00E-08,"8,544.21",0.00009,1.00E-08,1.00E-08,15550,0.0001555,FLXC_BTC
88,1583107200,2020/3/2,1.00E-08,1.00E-08,"8,915.20",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
89,1583193600,2020/3/3,1.00E-08,1.00E-08,"8,760.07",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
90,1583280000,2020/3/4,1.00E-08,1.00E-08,"8,750.87",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
91,1583366400,2020/3/5,1.00E-08,1.00E-08,"9,054.68",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
92,1583452800,2020/3/6,1.00E-08,1.00E-08,"9,131.88",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
93,1583539200,2020/3/7,1.00E-08,1.00E-08,"8,886.66",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
94,1583625600,2020/3/8,1.00E-08,1.00E-08,"8,034.72",0.00008,1.00E-08,1.00E-08,199600,0.001996,FLXC_BTC
95,1583712000,2020/3/9,1.00E-08,1.00E-08,"7,929.94",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
96,1583798400,2020/3/10,1.00E-08,1.00E-08,"7,894.56",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
97,1583884800,2020/3/11,1.00E-08,1.00E-08,"7,934.58",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
98,1583971200,2020/3/12,1.00E-08,1.00E-08,"4,659.00",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
99,1584057600,2020/3/13,1.00E-08,1.00E-08,"5,578.59",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
100,1584144000,2020/3/14,1.00E-08,1.00E-08,"5,176.18",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
101,1584230400,2020/3/15,1.00E-08,1.00E-08,"5,361.30",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
102,1584316800,2020/3/16,1.00E-08,1.00E-08,"5,028.97",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
103,1584403200,2020/3/17,1.00E-08,1.00E-08,"5,312.85",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
104,1584489600,2020/3/18,1.00E-08,1.00E-08,"5,393.67",0.00005,1.00E-08,1.00E-08,0,0,FLXC_BTC
105,1584576000,2020/3/19,1.00E-08,1.00E-08,"6,162.37",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
106,1584662400,2020/3/20,1.00E-08,1.00E-08,"6,207.99",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
107,1584748800,2020/3/21,1.00E-08,1.00E-08,"6,186.98",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
108,1584835200,2020/3/22,1.00E-08,1.00E-08,"5,861.87",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
109,1584921600,2020/3/23,1.00E-08,1.00E-08,"6,333.38",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
110,1585008000,2020/3/24,1.00E-08,1.00E-08,"6,744.72",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
111,1585094400,2020/3/25,1.00E-08,1.00E-08,"6,523.75",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
112,1585180800,2020/3/26,1.00E-08,1.00E-08,"6,737.36",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
113,1585267200,2020/3/27,1.00E-08,1.00E-08,"6,470.58",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
114,1585353600,2020/3/28,1.00E-08,1.00E-08,"6,237.82",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
115,1585440000,2020/3/29,1.00E-08,1.00E-08,"5,881.42",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
116,1585526400,2020/3/30,1.00E-08,1.00E-08,"6,394.38",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
117,1585612800,2020/3/31,1.00E-08,1.00E-08,"6,410.44",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
118,1585699200,2020/4/1,1.00E-08,1.00E-08,"6,480.84",0.00006,1.00E-08,1.00E-08,0,0,FLXC_BTC
119,1585785600,2020/4/2,1.00E-08,1.00E-08,"6,794.09",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
120,1585872000,2020/4/3,1.00E-08,1.00E-08,"6,703.34",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
121,1585958400,2020/4/4,1.00E-08,1.00E-08,"6,755.61",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
122,1586044800,2020/4/5,1.00E-08,1.00E-08,"6,797.70",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
123,1586131200,2020/4/6,1.00E-08,1.00E-08,"7,156.20",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
124,1586217600,2020/4/7,1.00E-08,1.00E-08,"7,063.23",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
125,1586304000,2020/4/8,1.00E-08,1.00E-08,"7,220.33",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
126,1586390400,2020/4/9,1.00E-08,1.00E-08,"7,226.67",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
127,1586476800,2020/4/10,1.00E-08,1.00E-08,"7,000.00",0.00007,1.00E-08,1.00E-08,12728,0.00012728,FLXC_BTC
128,1586563200,2020/4/11,1.00E-08,1.00E-08,"6,876.83",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
129,1586649600,2020/4/12,1.00E-08,1.00E-08,"7,004.93",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
130,1586736000,2020/4/13,1.00E-08,1.00E-08,"6,838.04",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
131,1586822400,2020/4/14,1.00E-08,1.00E-08,"6,868.70",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
132,1586908800,2020/4/15,1.00E-08,1.00E-08,"6,733.33",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
133,1586995200,2020/4/16,1.00E-08,1.00E-08,"6,979.98",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
134,1587081600,2020/4/17,1.00E-08,1.00E-08,"7,093.49",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
135,1587168000,2020/4/18,1.00E-08,1.00E-08,"7,111.50",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
136,1587254400,2020/4/19,1.00E-08,1.00E-08,"7,120.74",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
137,1587340800,2020/4/20,1.00E-08,1.00E-08,"6,930.75",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
138,1587427200,2020/4/21,1.00E-08,1.00E-08,"6,930.04",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
139,1587513600,2020/4/22,1.00E-08,1.00E-08,"6,949.50",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
140,1587600000,2020/4/23,1.00E-08,1.00E-08,"7,482.33",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
141,1587686400,2020/4/24,1.00E-08,1.00E-08,"7,395.00",0.00007,1.00E-08,1.00E-08,0,0,FLXC_BTC
142,1587772800,2020/4/25,1.00E-08,1.00E-08,"7,538.67",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
143,1587859200,2020/4/26,1.00E-08,1.00E-08,"7,610.00",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
144,1587945600,2020/4/27,1.00E-08,1.00E-08,"7,774.47",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
145,1588032000,2020/4/28,1.00E-08,1.00E-08,"7,564.16",0.00008,1.00E-08,1.00E-08,0,0,FLXC_BTC
146,1588118400,2020/4/29,1.00E-08,1.00E-08,"8,816.66",0.00009,1.00E-08,1.00E-08,0,0,FLXC_BTC
