,open_time,,open,close,highest,lowest,volume,amount,market_name
0,1585958400,2020/4/4,0.0012,0.0147,0.022,0.0001,300.95,0.323280322,GLDG_BTC
1,1586044800,2020/4/5,0.0000725,0.0001299,0.0118,0.0000481,20274.8,3.685158108,GLDG_BTC
2,1586131200,2020/4/6,0.0000483,6.00E-07,0.00012,2.00E-07,4870707.47,4.10308049,GLDG_BTC
3,1586217600,2020/4/7,6.00E-07,8.00E-07,0.0000064,2.00E-07,14895538.08,4.741527139,GLDG_BTC
4,1586304000,2020/4/8,9.00E-07,2.00E-07,0.000001,1.00E-07,13518714.27,2.958962762,GLDG_BTC
5,1586390400,2020/4/9,2.00E-07,3.00E-07,3.00E-07,2.00E-07,6541739.07,1.601861589,GLDG_BTC
6,1586476800,2020/4/10,2.00E-07,1.00E-07,0.0000032,1.00E-07,7234123.98,1.179181757,GLDG_BTC
7,1586563200,2020/4/11,1.00E-07,1.00E-07,2.00E-07,1.00E-07,11834131.95,1.183772745,GLDG_BTC
8,1586649600,2020/4/12,1.00E-07,1.00E-07,1.00E-07,1.00E-07,412898.68,0.041289868,GLDG_BTC
9,1586736000,2020/4/13,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
10,1586822400,2020/4/14,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3289.91,0.000328991,GLDG_BTC
11,1586908800,2020/4/15,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
12,1586995200,2020/4/16,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
13,1587081600,2020/4/17,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
14,1587168000,2020/4/18,1.00E-07,1.00E-07,1.00E-07,1.00E-07,15198,0.0015198,GLDG_BTC
15,1587254400,2020/4/19,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
16,1587340800,2020/4/20,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1929.24,0.000192924,GLDG_BTC
17,1587427200,2020/4/21,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0,0,GLDG_BTC
18,1587513600,2020/4/22,1.00E-08,1.00E-08,4.00E-08,1.00E-08,532611,0.00629841,GLDG_BTC
19,1587600000,2020/4/23,1.00E-08,1.00E-08,1.00E-08,1.00E-08,0,0,GLDG_BTC
20,1587686400,2020/4/24,1.00E-08,1.00E-08,1.00E-08,1.00E-08,144530,0.0014453,GLDG_BTC
21,1587772800,2020/4/25,1.00E-08,1.00E-08,1.00E-08,1.00E-08,0,0,GLDG_BTC
22,1587859200,2020/4/26,1.00E-08,1.00E-08,1.00E-08,1.00E-08,0,0,GLDG_BTC
23,1587945600,2020/4/27,1.00E-08,1.00E-08,1.00E-08,1.00E-08,0,0,GLDG_BTC
24,1588032000,2020/4/28,1.00E-08,1.00E-08,1.00E-08,1.00E-08,0,0,GLDG_BTC
25,1588118400,2020/4/29,1.00E-08,1.00E-08,1.00E-08,1.00E-08,10000,0.0001,GLDG_BTC
