,open_time,open,close,highest,lowest,volume,amount,market_name
0,1586995200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
1,1587081600,0.033,0.033,0.033,0.033,500,16.5,GSH_EUR
2,1587168000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
3,1587254400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
4,1587340800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
5,1587427200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
6,1587513600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
7,1587600000,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
8,1587686400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
9,1587772800,0.033,0.033,0.033,0.033,0,0,GSH_EUR
10,1587859200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
11,1587945600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
12,1588032000,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
13,1588118400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
14,1588204800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
15,1588291200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
16,1588377600,0.033,0.033,0.033,0.033,0,0,GSH_EUR
17,1588464000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
18,1588550400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
19,1588636800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
20,1588723200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
21,1588809600,0.033,0.033,0.033,0.033,0,0,GSH_EUR
22,1588896000,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
23,1588982400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
24,1589068800,0.033,0.033,0.033,0.033,0,0,GSH_EUR
25,1589155200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
26,1589241600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
27,1589328000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
28,1589414400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
29,1589500800,0.033,0.033,0.033,0.033,0,0,GSH_EUR
30,1589587200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
31,1589673600,0.033,0.033,0.033,0.033,0,0,GSH_EUR
32,1589760000,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
33,1589846400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
34,1589932800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
35,1590019200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
36,1590105600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
37,1590192000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
38,1590278400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
39,1590364800,0.033,0.033,0.033,0.033,0,0,GSH_EUR
40,1590451200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
41,1590537600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
42,1590624000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
43,1590710400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
44,1590796800,0.033,0.033,0.033,0.033,0,0,GSH_EUR
45,1590883200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
46,1590969600,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
47,1591056000,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
48,1591142400,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
49,1591228800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
50,1591315200,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
51,1591401600,0.033,0.033,0.033,0.033,0,0,GSH_EUR
52,1591488000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
53,1591574400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
54,1591660800,0.033,0.033,0.033,0.033,250,8.25,GSH_EUR
55,1591747200,0.033,0.033,0.033,0.033,0,0,GSH_EUR
56,1591833600,0.033,0.033,0.033,0.033,0,0,GSH_EUR
57,1591920000,0.033,0.033,0.033,0.033,0,0,GSH_EUR
58,1592006400,0.033,0.033,0.033,0.033,0,0,GSH_EUR
