,open_time,,open,close,highest,lowest,volume,amount,market_name
0,1586995200,2020/4/16,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
1,1587081600,2020/4/17,0.041,0.041,0.041,0.041,400,16.4,GSH_USDT
2,1587168000,2020/4/18,0.041,0.041,0.041,0.041,0,0,GSH_USDT
3,1587254400,2020/4/19,0.041,0.041,0.041,0.041,0,0,GSH_USDT
4,1587340800,2020/4/20,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
5,1587427200,2020/4/21,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
6,1587513600,2020/4/22,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
7,1587600000,2020/4/23,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
8,1587686400,2020/4/24,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
9,1587772800,2020/4/25,0.041,0.041,0.041,0.041,0,0,GSH_USDT
10,1587859200,2020/4/26,0.041,0.041,0.041,0.041,0,0,GSH_USDT
11,1587945600,2020/4/27,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
12,1588032000,2020/4/28,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
13,1588118400,2020/4/29,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
14,1588204800,2020/4/30,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
15,1588291200,2020/5/1,0.041,0.041,0.041,0.041,0,0,GSH_USDT
16,1588377600,2020/5/2,0.041,0.041,0.041,0.041,0,0,GSH_USDT
17,1588464000,2020/5/3,0.041,0.041,0.041,0.041,0,0,GSH_USDT
18,1588550400,2020/5/4,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
19,1588636800,2020/5/5,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
20,1588723200,2020/5/6,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
21,1588809600,2020/5/7,0.041,0.041,0.041,0.041,0,0,GSH_USDT
22,1588896000,2020/5/8,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
23,1588982400,2020/5/9,0.041,0.041,0.041,0.041,0,0,GSH_USDT
24,1589068800,2020/5/10,0.041,0.041,0.041,0.041,0,0,GSH_USDT
25,1589155200,2020/5/11,0.041,0.041,0.041,0.041,0,0,GSH_USDT
26,1589241600,2020/5/12,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
27,1589328000,2020/5/13,0.041,0.041,0.041,0.041,0,0,GSH_USDT
28,1589414400,2020/5/14,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
29,1589500800,2020/5/15,0.041,0.041,0.041,0.041,0,0,GSH_USDT
30,1589587200,2020/5/16,0.041,0.041,0.041,0.041,0,0,GSH_USDT
31,1589673600,2020/5/17,0.041,0.041,0.041,0.041,0,0,GSH_USDT
32,1589760000,2020/5/18,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
33,1589846400,2020/5/19,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
34,1589932800,2020/5/20,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
35,1590019200,2020/5/21,0.041,0.041,0.041,0.041,0,0,GSH_USDT
36,1590105600,2020/5/22,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
37,1590192000,2020/5/23,0.041,0.041,0.041,0.041,0,0,GSH_USDT
38,1590278400,2020/5/24,0.041,0.041,0.041,0.041,0,0,GSH_USDT
39,1590364800,2020/5/25,0.041,0.041,0.041,0.041,0,0,GSH_USDT
40,1590451200,2020/5/26,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
41,1590537600,2020/5/27,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
42,1590624000,2020/5/28,0.041,0.041,0.041,0.041,0,0,GSH_USDT
43,1590710400,2020/5/29,0.041,0.041,0.041,0.041,0,0,GSH_USDT
44,1590796800,2020/5/30,0.041,0.041,0.041,0.041,0,0,GSH_USDT
45,1590883200,2020/5/31,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
46,1590969600,2020/6/1,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
47,1591056000,2020/6/2,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
48,1591142400,2020/6/3,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
49,1591228800,2020/6/4,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
50,1591315200,2020/6/5,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
51,1591401600,2020/6/6,0.041,0.041,0.041,0.041,0,0,GSH_USDT
52,1591488000,2020/6/7,0.041,0.041,0.041,0.041,0,0,GSH_USDT
53,1591574400,2020/6/8,0.041,0.041,0.041,0.041,0,0,GSH_USDT
54,1591660800,2020/6/9,0.041,0.041,0.041,0.041,200,8.2,GSH_USDT
55,1591747200,2020/6/10,0.041,0.041,0.041,0.041,0,0,GSH_USDT
56,1591833600,2020/6/11,0.041,0.041,0.041,0.041,0,0,GSH_USDT
57,1591920000,2020/6/12,0.041,0.041,0.041,0.041,0,0,GSH_USDT
58,1592006400,2020/6/13,0.041,0.041,0.041,0.041,0,0,GSH_USDT
