,open_time,,open,close,,,highest,lowest,volume,amount,market_name
0,1583280000,2020/3/4,0.0005,0.0075,8750.87,65.631525,0.0075,0.0005,103,0.082612,SWC_BTC
1,1583366400,2020/3/5,0.00001103,0.00009997,9054.68,0.90519636,0.00104,7.50E-07,9157,0.03865868,SWC_BTC
2,1583452800,2020/3/6,0.00009997,0.00009997,9131.88,0.912914044,0.00009997,0.00009997,0,0,SWC_BTC
3,1583539200,2020/3/7,0.00001,0.00001,8886.66,0.0888666,0.00001,0.00001,10,0.0001,SWC_BTC
4,1583625600,2020/3/8,0.000009,0.000017,8034.72,0.13659024,0.000017,0.000009,14852,0.245634,SWC_BTC
5,1583712000,2020/3/9,0.00001,1.00E-07,7929.94,0.000792994,0.00001,3.00E-08,34662,0.03150893,SWC_BTC
6,1583798400,2020/3/10,1.30E-07,0.000001,7894.56,0.00789456,0.000005,6.00E-08,263845,0.02849172,SWC_BTC
7,1583884800,2020/3/11,0.000001,0.000001,7934.58,0.00793458,0.000001,0.000001,102,0.000102,SWC_BTC
8,1583971200,2020/3/12,1.40E-07,8.00E-08,4659,0.00037272,1.40E-07,8.00E-08,65637,0.00543918,SWC_BTC
9,1584057600,2020/3/13,1.30E-07,5.00E-08,5578.59,0.00027893,1.30E-07,5.00E-08,194555,0.0137718,SWC_BTC
10,1584144000,2020/3/14,6.00E-08,5.00E-08,5176.18,0.000258809,6.00E-08,5.00E-08,101667,0.00510002,SWC_BTC
11,1584230400,2020/3/15,5.00E-08,5.00E-08,5361.3,0.000268065,5.00E-08,5.00E-08,0,0,SWC_BTC
12,1584316800,2020/3/16,5.00E-08,5.00E-08,5028.97,0.000251449,5.00E-08,5.00E-08,0,0,SWC_BTC
13,1584403200,2020/3/17,5.00E-08,5.00E-08,5312.85,0.000265643,5.00E-08,5.00E-08,0,0,SWC_BTC
14,1584489600,2020/3/18,5.00E-08,5.00E-08,5393.67,0.000269684,5.00E-08,5.00E-08,0,0,SWC_BTC
15,1584576000,2020/3/19,5.00E-08,5.00E-08,6162.37,0.000308119,5.00E-08,5.00E-08,0,0,SWC_BTC
16,1584662400,2020/3/20,5.00E-08,5.00E-08,6207.99,0.0003104,5.00E-08,5.00E-08,0,0,SWC_BTC
