,c_price,o_price,min_price,max_price,volume,amount,timestamp,market_name
0,0.043,0.04772996,0.0411,0.0515,194042600.9489,194042600.9489,1526572800000,MCCCKUSD
1,0.0411,0.0424,0.0312,0.0477,410747737.7049,410747737.7049,1526659200000,MCCCKUSD
2,0.044,0.0414,0.034,0.044,566658871.2021,566658871.2021,1526745600000,MCCCKUSD
3,0.0425,0.0433,0.037,0.044,565827669.8120,565827669.8120,1526832000000,MCCCKUSD
4,0.0393,0.0395,0.0353,0.0422,312094866.4295,312094866.4295,1526918400000,MCCCKUSD
5,0.0362,0.037,0.032,0.0409,5681399.2028,5681399.2028,1527004800000,MCCCKUSD
6,0.0298,0.032,0.0288,0.0389,171596455.0029,171596455.0029,1527091200000,MCCCKUSD
7,0.0311,0.0311,0.0311,0.0311,281093208.3496,281093208.3496,1527177600000,MCCCKUSD
8,0.038,0.0383,0.0314,0.0383,73437560.3665,73437560.3665,1527264000000,MCCCKUSD
9,0.0319,0.038,0.0319,0.038,592717056.4726,592717056.4726,1527350400000,MCCCKUSD
10,0.0318,0.0319,0.0112,0.0319,556231196.4137,556231196.4137,1527436800000,MCCCKUSD
11,0.03,0.0318,0.03,0.0318,450409034.9581,450409034.9581,1527523200000,MCCCKUSD
12,0.0319,0.03,0.03,0.0348,448544843.6263,448544843.6263,1527609600000,MCCCKUSD
13,0.0328,0.0321,0.0308,0.0329,62407046.1872,62407046.1872,1527696000000,MCCCKUSD
14,0.0328,0.0324,0.0319,0.034,251129667.6016,251129667.6016,1527782400000,MCCCKUSD
15,0.0368,0.033,0.033,0.0368,362108518.5236,362108518.5236,1527868800000,MCCCKUSD
16,0.0366,0.0383,0.0339,0.0383,174632241.7628,174632241.7628,1527955200000,MCCCKUSD
17,0.0327,0.0349,0.0327,0.0377,16695168.3099,16695168.3099,1528041600000,MCCCKUSD
18,0.0328,0.0334,0.0328,0.0355,243890888.2327,243890888.2327,1528128000000,MCCCKUSD
19,0.0318,0.0329,0.0318,0.0347,519004684.5109,519004684.5109,1528214400000,MCCCKUSD
20,0.0302,0.0349,0.0301,0.0349,127751425.6598,127751425.6598,1528300800000,MCCCKUSD
21,0.0327,0.0345,0.03,0.0345,75542896.4495,75542896.4495,1528387200000,MCCCKUSD
22,0.0302,0.0327,0.0302,0.034,611120651.3231,611120651.3231,1528473600000,MCCCKUSD
23,0.0301,0.033,0.0301,0.033,318111303.6390,318111303.6390,1528560000000,MCCCKUSD
24,0.0291,0.03,0.023,0.03,151854523.6340,151854523.6340,1528646400000,MCCCKUSD
25,0.027,0.0268,0.0268,0.0313,558497780.9916,558497780.9916,1528732800000,MCCCKUSD
26,0.031,0.027,0.027,0.031,221248142.6097,221248142.6097,1528819200000,MCCCKUSD
27,0.0235,0.027,0.0233,0.0306,172497591.3426,172497591.3426,1528905600000,MCCCKUSD
28,0.0335,0.0277,0.0247,0.0335,230256037.8383,230256037.8383,1528992000000,MCCCKUSD
29,0.0286,0.0291,0.0261,0.0295,439546718.9895,439546718.9895,1529078400000,MCCCKUSD
30,0.031,0.0286,0.0262,0.0323,196727762.2316,196727762.2316,1529164800000,MCCCKUSD
31,0.0358,0.031,0.031,0.0358,132518010.7654,132518010.7654,1529251200000,MCCCKUSD
32,0.0349,0.0315,0.0315,0.0349,243786113.0466,243786113.0466,1529337600000,MCCCKUSD
33,0.0345,0.0331,0.0331,0.035,449877193.1131,449877193.1131,1529424000000,MCCCKUSD
34,0.0351,0.0347,0.0321,0.0369,536718244.4487,536718244.4487,1529510400000,MCCCKUSD
35,0.0288,0.0323,0.0288,0.0338,50904287.7839,50904287.7839,1529596800000,MCCCKUSD
36,0.028,0.0281,0.028,0.0337,565760782.3192,565760782.3192,1529683200000,MCCCKUSD
37,0.0252,0.028,0.0252,0.028,579614961.6478,579614961.6478,1529769600000,MCCCKUSD
38,0.0282,0.0329,0.0271,0.0329,495988800.7718,495988800.7718,1529856000000,MCCCKUSD
39,0.0312,0.0276,0.0276,0.0312,337390283.1644,337390283.1644,1529942400000,MCCCKUSD
40,0.031,0.031,0.0263,0.031,490682983.7527,490682983.7527,1530028800000,MCCCKUSD
41,0.0271,0.0309,0.0271,0.0309,24386132.6575,24386132.6575,1530115200000,MCCCKUSD
42,0.0234,0.0276,0.0233,0.0296,310876843.8252,310876843.8252,1530201600000,MCCCKUSD
43,0.0234,0.0233,0.0233,0.0234,301883427.0053,301883427.0053,1530288000000,MCCCKUSD
44,0.0232,0.0233,0.0232,0.0265,240770277.3654,240770277.3654,1530374400000,MCCCKUSD
45,0.0263,0.0241,0.024,0.0263,360072913.8658,360072913.8658,1530460800000,MCCCKUSD
46,0.0279,0.0269,0.0269,0.0288,158100495.8830,158100495.8830,1530547200000,MCCCKUSD
47,0.0276,0.0282,0.0267,0.0282,366190274.1006,366190274.1006,1530633600000,MCCCKUSD
48,0.0319,0.0237,0.0236,0.035,536437539.1194,536437539.1194,1530720000000,MCCCKUSD
49,0.0296,0.0301,0.026,0.0319,544106636.4129,544106636.4129,1530806400000,MCCCKUSD
50,0.028,0.0296,0.028,0.0296,469842866.0517,469842866.0517,1530892800000,MCCCKUSD
51,0.0332,0.0296,0.0239,0.0332,459990835.2475,459990835.2475,1530979200000,MCCCKUSD
52,0.0329,0.0313,0.0274,0.0329,228624957.3122,228624957.3122,1531065600000,MCCCKUSD
53,0.0355,0.0274,0.027,0.0355,396667908.5168,396667908.5168,1531152000000,MCCCKUSD
54,0.0342,0.0355,0.03,0.0355,402636205.5297,402636205.5297,1531238400000,MCCCKUSD
55,0.0355,0.0341,0.0319,0.0385,234772746.8559,234772746.8559,1531324800000,MCCCKUSD
56,0.0319,0.0365,0.0319,0.0366,388506579.2008,388506579.2008,1531411200000,MCCCKUSD
57,0.0319,0.0319,0.0319,0.0319,29891369.3755,29891369.3755,1531497600000,MCCCKUSD
58,0.0378,0.0319,0.0301,0.0378,569371823.9474,569371823.9474,1531584000000,MCCCKUSD
59,0.0365,0.0343,0.0343,0.0365,126586137.4938,126586137.4938,1531670400000,MCCCKUSD
60,0.0523,0.0368,0.0352,0.0584,403285579.4097,403285579.4097,1531756800000,MCCCKUSD
61,0.0475,0.0505,0.0459,0.0533,303174878.0617,303174878.0617,1531843200000,MCCCKUSD
62,0.062,0.0532,0.0453,0.0738,103790719.2941,103790719.2941,1531929600000,MCCCKUSD
63,0.052,0.0633,0.052,0.0633,336758748.2643,336758748.2643,1532016000000,MCCCKUSD
64,0.053,0.0526,0.0526,0.0579,477363983.2144,477363983.2144,1532102400000,MCCCKUSD
65,0.0578,0.058,0.0512,0.058,473992335.1741,473992335.1741,1532188800000,MCCCKUSD
66,0.0518,0.0535,0.0518,0.058,88969243.6970,88969243.6970,1532275200000,MCCCKUSD
67,0.0553,0.0518,0.0516,0.0558,83701004.3880,83701004.3880,1532361600000,MCCCKUSD
68,0.0512,0.0545,0.0504,0.0573,193924227.2055,193924227.2055,1532448000000,MCCCKUSD
69,0.0486,0.0512,0.0428,0.0537,216398751.5612,216398751.5612,1532534400000,MCCCKUSD
70,0.0483,0.0469,0.044,0.0485,300376939.2435,300376939.2435,1532620800000,MCCCKUSD
71,0.0439,0.0448,0.0439,0.0484,489078312.1470,489078312.1470,1532707200000,MCCCKUSD
72,0.039,0.0439,0.039,0.0447,494803385.6138,494803385.6138,1532793600000,MCCCKUSD
73,0.034,0.0393,0.034,0.0436,589157310.6645,589157310.6645,1532880000000,MCCCKUSD
74,0.0353,0.0432,0.0353,0.0433,387929242.9757,387929242.9757,1532966400000,MCCCKUSD
75,0.0373,0.0352,0.0352,0.0401,97411771.6398,97411771.6398,1533052800000,MCCCKUSD
76,0.045,0.0368,0.0352,0.0512,481511329.7060,481511329.7060,1533139200000,MCCCKUSD
77,0.0425,0.0414,0.0351,0.0427,32336728.8829,32336728.8829,1533225600000,MCCCKUSD
78,0.0351,0.0351,0.0351,0.0351,292612720.3646,292612720.3646,1533312000000,MCCCKUSD
79,0.0434,0.0434,0.0434,0.0434,163326868.9535,163326868.9535,1533398400000,MCCCKUSD
80,0.033,0.0418,0.033,0.0425,232072255.2088,232072255.2088,1533484800000,MCCCKUSD
81,0.03,0.0302,0.03,0.0348,440046255.6858,440046255.6858,1533571200000,MCCCKUSD
82,0.03,0.0301,0.03,0.035,120630840.1359,120630840.1359,1533657600000,MCCCKUSD
83,0.0296,0.0301,0.0296,0.0335,310029246.0585,310029246.0585,1533744000000,MCCCKUSD
84,0.0305,0.0303,0.0295,0.0312,111761538.7231,111761538.7231,1533830400000,MCCCKUSD
