,open_time,,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
0,1.5876E+12,2020/04/23 00:00:00.000,0.01506,0.098,0.01506,0.05731,530505208.4,1.58769E+12,35182998.58,109129,238177436.9,15843172.99,0,CTSIUSDT
1,1.58769E+12,2020/04/24 00:00:00.000,0.05731,0.06388,0.05064,0.05171,126658921,1.58777E+12,7278102.459,25675,52795810.9,3045084.738,0,CTSIUSDT
2,1.58777E+12,2020/04/25 00:00:00.000,0.05176,0.056,0.05089,0.05198,60880303.8,1.58786E+12,3225266.65,11321,26717170.8,1423003.104,0,CTSIUSDT
3,1.58786E+12,2020/04/26 00:00:00.000,0.05198,0.05436,0.0451,0.04636,80267163.1,1.58795E+12,3992729.577,14124,31462882.4,1578048.991,0,CTSIUSDT
4,1.58795E+12,2020/04/27 00:00:00.000,0.04645,0.04669,0.03861,0.04191,90008813.9,1.58803E+12,3828270.865,15211,37837027.7,1613518.95,0,CTSIUSDT
5,1.58803E+12,2020/04/28 00:00:00.000,0.04191,0.0498,0.03904,0.04101,128555005,1.58812E+12,5677385.617,18106,61642667.8,2725851.125,0,CTSIUSDT
6,1.58812E+12,2020/04/29 00:00:00.000,0.041,0.04561,0.03975,0.0416,77503703.1,1.5882E+12,3275279.101,13513,33051654.2,1400583.429,0,CTSIUSDT
7,1.5882E+12,2020/04/30 00:00:00.000,0.0416,0.04411,0.03868,0.0396,60379275.4,1.58829E+12,2473424.071,12595,22836218.9,944351.441,0,CTSIUSDT
8,1.58829E+12,2020/05/01 00:00:00.000,0.03947,0.0417,0.03702,0.0392,31746955.2,1.58838E+12,1249838.03,6220,14215947.5,561064.8914,0,CTSIUSDT
9,1.58838E+12,2020/05/02 00:00:00.000,0.03918,0.03969,0.03656,0.03755,20869197.5,1.58846E+12,789579.6884,5077,9466361,359068.2835,0,CTSIUSDT
10,1.58846E+12,2020/05/03 00:00:00.000,0.03752,0.03815,0.03382,0.03745,31198843.6,1.58855E+12,1127217.038,6730,13512292.1,488306.7871,0,CTSIUSDT
11,1.58855E+12,2020/05/04 00:00:00.000,0.03744,0.04112,0.0339,0.03789,59845238.7,1.58864E+12,2264386.378,10818,28256692,1074979.38,0,CTSIUSDT
12,1.58864E+12,2020/05/05 00:00:00.000,0.03789,0.04111,0.03629,0.03731,44610026.1,1.58872E+12,1716018.606,8624,19734200.2,763680.0711,0,CTSIUSDT
13,1.58872E+12,2020/05/06 00:00:00.000,0.03731,0.03942,0.03457,0.03457,28419853.8,1.58881E+12,1052460.888,5604,12127673.5,452330.2249,0,CTSIUSDT
14,1.58881E+12,2020/05/07 00:00:00.000,0.03457,0.0356,0.03101,0.03223,26032105.3,1.5889E+12,864793.101,5187,10658061.9,354397.9192,0,CTSIUSDT
15,1.5889E+12,2020/05/08 00:00:00.000,0.03223,0.03385,0.03067,0.03214,19856403.7,1.58898E+12,637889.1742,3956,8139506,262698.5198,0,CTSIUSDT
16,1.58898E+12,2020/05/09 00:00:00.000,0.0319,0.03446,0.03154,0.03219,18005208.4,1.58907E+12,589212.9934,2951,7160288.2,234391.751,0,CTSIUSDT
