,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
0,1556236800000,0.00263000,0.01052000,0.00263000,0.00545000,2251813333.70000000,1556323199999,13165943.99965100,29783,992882444.00000000,5829864.14588800,0,MATICUSDT
1,1556323200000,0.00543000,0.00586000,0.00516000,0.00521000,440339020.00000000,1556409599999,2401118.02948200,7591,196839741.60000000,1075229.90979500,0,MATICUSDT
2,1556409600000,0.00521000,0.00527000,0.00434000,0.00442000,457183971.50000000,1556495999999,2218764.98535100,7463,174578789.20000000,851288.96241000,0,MATICUSDT
3,1556496000000,0.00442000,0.00456000,0.00343000,0.00347000,520557584.60000000,1556582399999,2090178.57133000,7321,193985377.50000000,776881.25854200,0,MATICUSDT
4,1556582400000,0.00346000,0.00516000,0.00346000,0.00442000,1165706893.80000000,1556668799999,5268819.86829800,14764,469118811.20000000,2125649.11569400,0,MATICUSDT
5,1556668800000,0.00442000,0.00464000,0.00402000,0.00432000,650430750.00000000,1556755199999,2758219.84313700,7115,163705457.10000000,697929.70975100,0,MATICUSDT
6,1556755200000,0.00432000,0.00468000,0.00410000,0.00419000,270118878.80000000,1556841599999,1168828.90371100,4636,112213722.60000000,489294.87487200,0,MATICUSDT
7,1556841600000,0.00419000,0.00440000,0.00394000,0.00423000,279265819.70000000,1556927999999,1153772.20424300,3953,121483789.00000000,504597.15931200,0,MATICUSDT
8,1556928000000,0.00423000,0.00425000,0.00381000,0.00397000,151436176.60000000,1557014399999,612281.14348300,2466,61798527.10000000,251222.46989100,0,MATICUSDT
9,1557014400000,0.00396000,0.00406000,0.00359000,0.00372000,161357630.80000000,1557100799999,614191.03100000,2273,59748550.40000000,227302.23661600,0,MATICUSDT
10,1557100800000,0.00371000,0.00392000,0.00350000,0.00373000,270695596.40000000,1557187199999,1003392.02054100,3541,102318108.20000000,382342.38616800,0,MATICUSDT
11,1557187200000,0.00374000,0.00385000,0.00333000,0.00336000,172934704.90000000,1557273599999,631415.43591000,2434,74329403.60000000,273383.11667200,0,MATICUSDT
12,1557273600000,0.00335000,0.00348000,0.00328000,0.00333000,154227974.60000000,1557359999999,519824.74236700,2002,60675700.30000000,205640.76329000,0,MATICUSDT
13,1557360000000,0.00336000,0.00341000,0.00303000,0.00314000,211829251.90000000,1557446399999,675710.22655800,3251,95088492.60000000,303413.83706700,0,MATICUSDT
14,1557446400000,0.00313000,0.00388000,0.00312000,0.00378000,408703745.60000000,1557532799999,1440180.24490300,6366,203679996.70000000,719063.88796100,0,MATICUSDT
15,1557532800000,0.00379000,0.00505000,0.00371000,0.00460000,688249967.80000000,1557619199999,3001736.11750800,10258,350396962.10000000,1519985.22254800,0,MATICUSDT
16,1557619200000,0.00462000,0.00572000,0.00444000,0.00530000,1166562752.90000000,1557705599999,6084005.27172600,17225,527929467.90000000,2748208.54797100,0,MATICUSDT
17,1557705600000,0.00529000,0.00920000,0.00516000,0.00868000,2877309846.10000000,1557791999999,21808982.31624800,48430,1315183545.20000000,9961974.63420300,0,MATICUSDT
18,1557792000000,0.00864000,0.01120000,0.00718000,0.00780000,3861464345.10000000,1557878399999,36235484.08388100,75510,1649191288.20000000,15471189.03882500,0,MATICUSDT
19,1557878400000,0.00777000,0.01000000,0.00705000,0.00956000,1803273014.20000000,1557964799999,16001266.44628000,36650,875488831.30000000,7802394.59000000,0,MATICUSDT
20,1557964800000,0.00957000,0.01205000,0.00826000,0.01087000,2158935027.20000000,1558051199999,21866185.33634100,49125,1051087281.30000000,10672061.52314100,0,MATICUSDT
21,1558051200000,0.01086000,0.01507000,0.00921000,0.01455000,4397262355.60000000,1558137599999,56503235.83923500,104019,2149144196.80000000,27722639.55183500,0,MATICUSDT
22,1558137600000,0.01456000,0.01489000,0.01205000,0.01235000,1670915897.80000000,1558223999999,21896672.92224900,48700,843385872.30000000,11031631.13340600,0,MATICUSDT
23,1558224000000,0.01235000,0.02069000,0.01226000,0.02018000,2909833092.60000000,1558310399999,50304463.97869000,108635,1505789350.90000000,25865299.95200900,0,MATICUSDT
24,1558310400000,0.02016000,0.03500000,0.01833000,0.02950000,4959586016.00000000,1558396799999,129015793.31595000,233512,2374306678.40000000,61650322.82521700,0,MATICUSDT
25,1558396800000,0.02937000,0.04500000,0.02438000,0.02953000,7216196145.90000000,1558483199999,254220541.19830300,435799,3489567900.70000000,123441636.87331600,0,MATICUSDT
26,1558483200000,0.02950000,0.03170000,0.02050000,0.02209000,4411472529.90000000,1558569599999,107986180.26570900,223304,2094546193.20000000,51287577.66897300,0,MATICUSDT
27,1558569600000,0.02215000,0.03401000,0.02143000,0.02739000,5742350972.30000000,1558655999999,164039791.90192500,229169,2826668792.50000000,80737692.39416500,0,MATICUSDT
28,1558656000000,0.02736000,0.02870000,0.02265000,0.02529000,2439816666.40000000,1558742399999,61713452.33613800,111817,1128042818.20000000,28566094.67877200,0,MATICUSDT
29,1558742400000,0.02527000,0.02835000,0.02302000,0.02475000,2092787378.60000000,1558828799999,53847308.50589400,80308,1001765033.10000000,25846950.59336800,0,MATICUSDT
30,1558828800000,0.02482000,0.02725000,0.02305000,0.02419000,1308601539.20000000,1558915199999,33074414.20915000,56410,609348840.10000000,15432825.19832800,0,MATICUSDT
31,1558915200000,0.02417000,0.02478000,0.02076000,0.02235000,1191302944.80000000,1559001599999,26878220.06548200,57119,535157204.10000000,12076665.28396400,0,MATICUSDT
32,1559001600000,0.02232000,0.02540000,0.02102000,0.02380000,1527919636.60000000,1559087999999,35602220.79204100,64106,732599537.40000000,17112665.04447600,0,MATICUSDT
33,1559088000000,0.02379000,0.02487000,0.02207000,0.02212000,860955448.60000000,1559174399999,19912545.76314300,36362,373837649.60000000,8676018.48041700,0,MATICUSDT
34,1559174400000,0.02213000,0.02330000,0.01824000,0.01972000,1037590833.50000000,1559260799999,22266449.32570200,43837,453408840.20000000,9749496.86889100,0,MATICUSDT
35,1559260800000,0.01972000,0.02299000,0.01939000,0.02216000,1075501624.00000000,1559347199999,23008223.81483100,43275,520481111.00000000,11164252.99592700,0,MATICUSDT
36,1559347200000,0.02216000,0.02289000,0.02067000,0.02104000,963080818.80000000,1559433599999,20696050.74108100,39941,424063412.00000000,9115758.52842100,0,MATICUSDT
37,1559433600000,0.02107000,0.02221000,0.01961000,0.02012000,514773376.30000000,1559519999999,10876792.90608400,22471,230881172.00000000,4895198.25713200,0,MATICUSDT
38,1559520000000,0.02012000,0.02099000,0.01873000,0.01911000,515148781.00000000,1559606399999,10240488.39477400,20466,224444586.40000000,4474761.50138700,0,MATICUSDT
39,1559606400000,0.01911000,0.02198000,0.01780000,0.02139000,1436021143.10000000,1559692799999,28557189.63905200,43810,692851149.40000000,13802206.50382800,0,MATICUSDT
40,1559692800000,0.02140000,0.02361000,0.01954000,0.02285000,1684301208.50000000,1559779199999,35947863.62507600,53956,798331292.90000000,17068270.39631600,0,MATICUSDT
41,1559779200000,0.02290000,0.02514000,0.02150000,0.02361000,1610958057.60000000,1559865599999,37838212.33347800,56476,758838774.20000000,17852483.04424500,0,MATICUSDT
42,1559865600000,0.02361000,0.02488000,0.02231000,0.02426000,581785344.20000000,1559951999999,13653073.35999000,25072,286380464.30000000,6732107.60139000,0,MATICUSDT
43,1559952000000,0.02429000,0.02662000,0.02330000,0.02583000,892055754.00000000,1560038399999,22531357.46286100,38439,434968848.00000000,10999280.40654300,0,MATICUSDT
44,1560038400000,0.02583000,0.02760000,0.02431000,0.02537000,1037582796.80000000,1560124799999,26851874.43417400,45053,470670590.30000000,12203901.62518600,0,MATICUSDT
45,1560124800000,0.02537000,0.02735000,0.02388000,0.02698000,861155174.40000000,1560211199999,21971136.13738100,37239,398651759.20000000,10189689.81318600,0,MATICUSDT
46,1560211200000,0.02701000,0.02706000,0.02332000,0.02390000,652982968.70000000,1560297599999,16209780.63776300,32432,260662312.30000000,6487894.02254200,0,MATICUSDT
