,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
0,1559347200000,0.00160000,0.00160000,0.00023000,0.00071900,2565035929.00000000,1559433599999,1726389.32436300,116338,1181650124.00000000,796074.41565700,0,ONEBNB
1,1559433600000,0.00072100,0.00072400,0.00058900,0.00063500,500988134.00000000,1559519999999,323780.77854400,35443,235166394.00000000,152174.33393800,0,ONEBNB
2,1559520000000,0.00063500,0.00074300,0.00062000,0.00068900,496406110.00000000,1559606399999,334857.76676800,46926,242613799.00000000,163868.17367800,0,ONEBNB
3,1559606400000,0.00068900,0.00085000,0.00066800,0.00080300,808004806.00000000,1559692799999,626422.31761700,88975,387842488.00000000,300400.08332200,0,ONEBNB
4,1559692800000,0.00080200,0.00102000,0.00075500,0.00091700,884782482.00000000,1559779199999,776541.02887100,109229,461368334.00000000,403384.75997900,0,ONEBNB
5,1559779200000,0.00091800,0.00097300,0.00080100,0.00084800,486607622.00000000,1559865599999,438759.85648500,82758,206874396.00000000,186312.86503400,0,ONEBNB
6,1559865600000,0.00084800,0.00089500,0.00077400,0.00082400,245700910.00000000,1559951999999,203377.96336400,41388,105432689.00000000,87277.85490500,0,ONEBNB
7,1559952000000,0.00082500,0.00085000,0.00079100,0.00082300,155868284.00000000,1560038399999,127787.75862800,32222,78397771.00000000,64416.92383400,0,ONEBNB
8,1560038400000,0.00082400,0.00088400,0.00079000,0.00080500,228330746.00000000,1560124799999,190994.96314900,41389,89607613.00000000,75401.93327100,0,ONEBNB
9,1560124800000,0.00080600,0.00081900,0.00077200,0.00080000,139042067.00000000,1560211199999,110429.94707100,27746,71808562.00000000,57023.26571400,0,ONEBNB
10,1560211200000,0.00080100,0.00080500,0.00070000,0.00070600,154301131.00000000,1560297599999,116244.07302800,24781,68276351.00000000,51290.83650600,0,ONEBNB
11,1560297600000,0.00070500,0.00071100,0.00063400,0.00063900,149638976.00000000,1560383999999,99924.08627900,23868,72721986.00000000,48526.25427400,0,ONEBNB
12,1560384000000,0.00063900,0.00070000,0.00061300,0.00063200,166878964.00000000,1560470399999,109645.06004000,30697,69888458.00000000,45865.20531200,0,ONEBNB
13,1560470400000,0.00063300,0.00068000,0.00062600,0.00063100,160953891.00000000,1560556799999,105486.43385800,33985,84470437.00000000,55528.09676200,0,ONEBNB
14,1560556800000,0.00063200,0.00067400,0.00062600,0.00065900,106403622.00000000,1560643199999,69442.18567000,21957,50860036.00000000,33248.73419400,0,ONEBNB
15,1560643200000,0.00066200,0.00067300,0.00062600,0.00067200,90327281.00000000,1560729599999,58163.09421100,19068,45516838.00000000,29404.15394600,0,ONEBNB
16,1560729600000,0.00067100,0.00069300,0.00060100,0.00060400,97793194.00000000,1560815999999,63163.38279700,17213,37213232.00000000,24236.22202000,0,ONEBNB
