,close,currencyVol,high,low,open,time,vol,market_name
0,9.1e-07,0,9.4e-07,7.6e-07,7.6e-07,1581292800000,506800.0294,btc-eved
1,7.8e-07,0,9e-07,7.6e-07,9e-07,1581379200000,368260.8633,btc-eved
2,8.4e-07,0,8.7e-07,7.6e-07,7.9e-07,1581465600000,571645.0528,btc-eved
3,6.3e-07,0,1.42e-06,6.3e-07,8.3e-07,1581552000000,1949104.7071,btc-eved
4,9.2e-07,0,9.7e-07,6.3e-07,6.4e-07,1581638400000,949452.3437,btc-eved
5,1.18e-06,0,2.48e-06,9.1e-07,9.4e-07,1581724800000,1656473.6028,btc-eved
6,1.14e-06,0,1.35e-06,1.04e-06,1.18e-06,1581811200000,1280932.3058,btc-eved
7,1.12e-06,0,1.3e-06,1.04e-06,1.16e-06,1581897600000,1582387.7253,btc-eved
8,9.1e-07,0,1.78e-06,8.3e-07,1.17e-06,1581984000000,827920.8264,btc-eved
9,1.29e-06,0,1.79e-06,9.1e-07,9.1e-07,1582070400000,993251.5767,btc-eved
10,1.24e-06,0,1.44e-06,1.03e-06,1.35e-06,1582156800000,1623168.4559,btc-eved
11,1.22e-06,0,1.42e-06,1.15e-06,1.25e-06,1582243200000,1004215.6129,btc-eved
12,1.35e-06,0,1.49e-06,1.18e-06,1.21e-06,1582329600000,625240.8457,btc-eved
13,1.53e-06,0,2.08e-06,1.18e-06,1.35e-06,1582416000000,965673.882,btc-eved
14,1.64e-06,0,1.89e-06,1.19e-06,1.52e-06,1582502400000,1438444.3287,btc-eved
15,1.97e-06,0,2.19e-06,1.24e-06,1.66e-06,1582588800000,1316264.7373,btc-eved
16,1.86e-06,0,2.74e-06,1.71e-06,1.95e-06,1582675200000,1692403.1345,btc-eved
17,1.94e-06,0,2.01e-06,1.7e-06,1.91e-06,1582761600000,1913284.543,btc-eved
18,1.78e-06,0,1.99e-06,1.77e-06,1.97e-06,1582848000000,788297.165,btc-eved
19,1.63e-06,0,2.39e-06,1.58e-06,1.83e-06,1582934400000,36167149.6322,btc-eved
20,1.47e-06,0,1.66e-06,1.11e-06,1.6e-06,1583020800000,53045949.8453,btc-eved
21,1.41e-06,0,1.47e-06,1.22e-06,1.47e-06,1583107200000,27415749.5471,btc-eved
22,1.42e-06,0,1.48e-06,1.4e-06,1.43e-06,1583193600000,47691241.5987,btc-eved
23,1.26e-06,0,1.45e-06,9.2e-07,1.42e-06,1583280000000,41823810.2301,btc-eved
24,1.25e-06,0,1.39e-06,9.1e-07,1.25e-06,1583366400000,34193402.4236,btc-eved
25,1.1e-06,0,1.32e-06,1.02e-06,1.23e-06,1583452800000,44141566.1309,btc-eved
26,8.7e-07,0,1.35e-06,7.5e-07,1.12e-06,1583539200000,54822294.9198,btc-eved
27,8.5e-07,0,1.31e-06,7.7e-07,8.7e-07,1583625600000,96019029.3484,btc-eved
28,8.9e-07,0,9e-07,8.2e-07,8.5e-07,1583712000000,162147822.6296,btc-eved
29,8e-07,0,1.08e-06,5.9e-07,8.7e-07,1583798400000,58615899.6127,btc-eved
30,8.9e-07,0,1.06e-06,6.2e-07,8.1e-07,1583884800000,63106642.7776,btc-eved
31,8.2e-07,0,9.7e-07,6.9e-07,9e-07,1583971200000,331006727.8302,btc-eved
32,6.8e-07,0,8.2e-07,6.7e-07,8.1e-07,1584057600000,143556639.2073,btc-eved
33,7e-07,0,8.9e-07,6.7e-07,6.8e-07,1584144000000,73873190.4391,btc-eved
34,5.6e-07,0,9e-07,4.5e-07,7e-07,1584230400000,74425813.0873,btc-eved
35,3.8e-07,0,7.7e-07,3.6e-07,5.7e-07,1584316800000,651916773.706,btc-eved
36,4.7e-07,0,6.5e-07,3.9e-07,3.9e-07,1584403200000,260612693.4519,btc-eved
37,6.3e-07,0,7.7e-07,4.5e-07,4.7e-07,1584489600000,600242422.4595,btc-eved
38,5.8e-07,0,7e-07,5.7e-07,6.3e-07,1584576000000,1070508231.5879,btc-eved
39,3.7e-07,0,5.8e-07,3.3e-07,5.8e-07,1584662400000,180656782.366,btc-eved
40,8.4e-07,0,8.8e-07,3.2e-07,3.7e-07,1584748800000,457477690.2426,btc-eved
41,5.9e-07,0,8.8e-07,5.9e-07,8.4e-07,1584835200000,311320951.8891,btc-eved
42,7.7e-07,0,8.8e-07,6e-07,6e-07,1584921600000,117151635.6163,btc-eved
43,7.2e-07,0,8.7e-07,6.5e-07,7.8e-07,1585008000000,704116167.6697,btc-eved
44,6.6e-07,0,8e-07,6.5e-07,7.2e-07,1585094400000,513138907.5192,btc-eved
45,7.1e-07,0,7.8e-07,6.3e-07,6.6e-07,1585180800000,271690786.4745,btc-eved
46,6.7e-07,0,7.2e-07,5.4e-07,7.1e-07,1585267200000,362842126.5722,btc-eved
47,6.9e-07,0,6.9e-07,6.7e-07,6.7e-07,1585353600000,388937297.1971,btc-eved
48,6.7e-07,0,6.8e-07,6.7e-07,6.8e-07,1585440000000,176977229.6038,btc-eved
49,6.5e-07,0,6.9e-07,6.4e-07,6.7e-07,1585526400000,248812021.0217,btc-eved
