,startsAt,open,high,low,close,volume,quoteVolume,market_name
0,2019-06-26T00:00:00Z,11765.14300000,13849.00000000,11362.00000000,12763.00100000,3227.66049005,40622479.90767345,BTC-USD
1,2019-06-27T00:00:00Z,12839.94300000,13267.99300000,10205.00000000,11127.81200000,2569.98107695,29439495.26902692,BTC-USD
2,2019-06-28T00:00:00Z,11162.15000000,12435.00000000,10754.00000000,12362.10000000,1398.49856355,16349521.95721949,BTC-USD
3,2019-06-29T00:00:00Z,12367.26900000,12367.26900000,11318.72300000,11875.60000000,1009.98562681,11939777.29241763,BTC-USD
4,2019-06-30T00:00:00Z,11876.02600000,12190.00000000,10666.68000000,10756.29000000,1088.59877054,12314766.92329782,BTC-USD
5,2019-07-01T00:00:00Z,10753.22600000,11189.99900000,9970.75000000,10571.36000000,1652.69072746,17324525.99288925,BTC-USD
6,2019-07-02T00:00:00Z,10563.80300000,10916.82800000,9659.01900000,10841.14900000,1886.80824500,19348920.89571875,BTC-USD
7,2019-07-03T00:00:00Z,10827.50300000,11999.99900000,10827.50300000,11974.55800000,1944.94840688,22114618.85216847,BTC-USD
8,2019-07-04T00:00:00Z,11978.99900000,12042.03800000,11030.91900000,11134.98100000,1327.86982112,15417418.55211876,BTC-USD
9,2019-07-05T00:00:00Z,11122.36600000,11437.81300000,10490.60200000,10987.35200000,1461.06556643,16132924.85203974,BTC-USD
10,2019-07-06T00:00:00Z,10993.88700000,11705.98300000,10993.88700000,11240.75900000,992.18674203,11328609.81466336,BTC-USD
11,2019-07-07T00:00:00Z,11240.76000000,11635.22000000,11093.71100000,11479.62600000,613.67610112,6978258.31458189,BTC-USD
12,2019-07-08T00:00:00Z,11479.62300000,12384.00000000,11344.09200000,12287.62900000,979.62666740,11725639.19605430,BTC-USD
13,2019-07-09T00:00:00Z,12287.63000000,12812.00000000,12113.34700000,12577.84900000,1487.55155196,18592576.73877623,BTC-USD
14,2019-07-10T00:00:00Z,12574.43800000,13199.98800000,11550.00100000,12090.99100000,1944.85647101,24141264.27564208,BTC-USD
15,2019-07-11T00:00:00Z,12102.80900000,12398.98800000,10950.00000000,11338.90400000,1983.82510071,22812944.30516969,BTC-USD
16,2019-07-12T00:00:00Z,11327.70700000,11962.07000000,11096.00000000,11810.00000000,975.42522864,11316151.14519426,BTC-USD
17,2019-07-13T00:00:00Z,11811.67300000,11835.02600000,10813.17900000,11378.23300000,901.02336527,10197913.06600894,BTC-USD
18,2019-07-14T00:00:00Z,11375.99900000,11462.83200000,10100.01000000,10194.99900000,1350.56242102,14375404.63862717,BTC-USD
19,2019-07-15T00:00:00Z,10180.53300000,11076.43000000,9878.38400000,10858.69500000,1514.40081423,15703329.22807635,BTC-USD
20,2019-07-16T00:00:00Z,10856.15700000,11031.52900000,9365.00300000,9411.60800000,1818.02375223,18473915.67368908,BTC-USD
21,2019-07-17T00:00:00Z,9419.44500000,9978.67000000,9089.00000000,9682.23800000,1321.49183610,12662670.81915836,BTC-USD
22,2019-07-18T00:00:00Z,9698.89700000,10785.49900000,9295.27700000,10654.44700000,1455.64959055,14755749.44089373,BTC-USD
23,2019-07-19T00:00:00Z,10684.52200000,10766.77300000,10115.00200000,10529.99900000,851.02101973,8883833.18715235,BTC-USD
24,2019-07-20T00:00:00Z,10529.98500000,11104.00000000,10375.00000000,10754.83200000,930.79036187,9985317.12687860,BTC-USD
25,2019-07-21T00:00:00Z,10755.84800000,10825.63500000,10334.03800000,10591.78500000,663.82207270,7005173.71352532,BTC-USD
26,2019-07-22T00:00:00Z,10591.78600000,10689.51600000,10078.27700000,10325.08300000,835.00635750,8659743.46267241,BTC-USD
27,2019-07-23T00:00:00Z,10325.07800000,10325.07800000,9820.00000000,9854.19900000,848.93330285,8529702.55969060,BTC-USD
