,time,open,close,highest,lowest,volume,amount,market_name
0,1562025600,0.00130000,0.00134721,0.00136663,0.00128014,21542729.55710000,28525.9575143196200000,BTTUSDT
1,1562112000,0.00134663,0.00131072,0.00135940,0.00126500,25078807.83375084,32887.4791306780919922,BTTUSDT
2,1562198400,0.00130998,0.00128468,0.00136061,0.00123282,30795505.49013616,39934.6633340331879128,BTTUSDT
3,1562284800,0.00128460,0.00129383,0.00139416,0.00126359,28782084.13703152,37176.6046423073851044,BTTUSDT
4,1562371200,0.00129441,0.00132799,0.00141195,0.00129100,32346338.41552465,42972.1745250146249864,BTTUSDT
5,1562457600,0.00132822,0.00144517,0.00147472,0.00131700,35005543.05053645,48545.0486489457934938,BTTUSDT
6,1562544000,0.00144572,0.00134047,0.00147412,0.00125534,39312216.41321263,54285.4380072624594157,BTTUSDT
7,1562630400,0.00133990,0.00129182,0.00134560,0.00126433,35300531.82583277,46195.1008761429204482,BTTUSDT
8,1562716800,0.00129163,0.00121543,0.00129185,0.00115000,38510187.52788281,47742.9765613936314266,BTTUSDT
9,1562803200,0.00121537,0.00107648,0.00124088,0.00106287,31798954.27159803,35842.4150843704361352,BTTUSDT
10,1562889600,0.00107746,0.00118570,0.00119283,0.00106673,40445156.54478549,46350.8786578865866850,BTTUSDT
11,1562976000,0.00118543,0.00114807,0.00121000,0.00109773,29405789.32455922,34230.2226012150915100,BTTUSDT
12,1563062400,0.00114882,0.00100643,0.00116676,0.00099106,35436789.04733994,38589.6577176412550600,BTTUSDT
13,1563148800,0.00100631,0.00102537,0.00105967,0.00091963,39170279.78662415,39191.7162912259808840,BTTUSDT
14,1563235200,0.00102588,0.00082380,0.00104895,0.00082327,40136648.84141063,37883.2781543883321190,BTTUSDT
15,1563321600,0.00082379,0.00088325,0.00092615,0.00079133,54955547.35552357,46992.6278728577100754,BTTUSDT
16,1563408000,0.00088420,0.00095327,0.00097386,0.00084782,60428576.10781263,55566.7248735177241540,BTTUSDT
17,1563494400,0.00095467,0.00099747,0.00102344,0.00092866,56065974.55381787,53588.0007128305650456,BTTUSDT
18,1563580800,0.00099960,0.00102637,0.00108082,0.00097920,71197014.38988433,73347.0681725663482400,BTTUSDT
19,1563667200,0.00103185,0.00100909,0.00105212,0.00097366,88571169.12268589,89381.8190663153463812,BTTUSDT
20,1563753600,0.00100914,0.00095032,0.00103690,0.00094901,90938433.60848587,91226.0538368030179300,BTTUSDT
21,1563840000,0.00094972,0.00086305,0.00098765,0.00081820,80034213.13657092,71974.9514750111853756,BTTUSDT
22,1563926400,0.00086400,0.00086100,0.00090164,0.00082628,54335096.67078462,46599.0609016139582220,BTTUSDT
23,1564012800,0.00086195,0.00085597,0.00089158,0.00084852,40477465.90140000,35133.9496776443770000,BTTUSDT
24,1564099200,0.00085585,0.00085731,0.00088405,0.00083700,36145458.72393144,30844.2703737152530396,BTTUSDT
25,1564185600,0.00085738,0.00085395,0.00087727,0.00078822,41859518.01240465,34758.4512996646173300,BTTUSDT
26,1564272000,0.00085686,0.00079179,0.00085751,0.00076262,27109996.39746250,21777.1483318480220000,BTTUSDT
27,1564358400,0.00079458,0.00077942,0.00082300,0.00077010,36219240.38721736,28521.7058212103661890,BTTUSDT
28,1564444800,0.00078040,0.00079053,0.00081268,0.00076264,56365397.36090000,44173.1824283080230000,BTTUSDT
29,1564531200,0.00079152,0.00081156,0.00082250,0.00078068,78022339.74397748,62664.0895277064483196,BTTUSDT
30,1564617600,0.00081083,0.00080441,0.00091536,0.00076794,127414318.09467584,100833.0342087453537440,BTTUSDT
31,1564704000,0.00080014,0.00076962,0.00080651,0.00075168,186244813.43947840,145547.2250984616357507,BTTUSDT
32,1564790400,0.00076891,0.00077140,0.00079472,0.00076200,163737834.70987197,127106.4577668205010608,BTTUSDT
33,1564876800,0.00077132,0.00076990,0.00078214,0.00072740,172940619.96444554,131121.6646517624370076,BTTUSDT
34,1564963200,0.00076828,0.00076955,0.00078000,0.00074125,171734606.26355975,131616.8533633999308498,BTTUSDT
35,1565049600,0.00076951,0.00075364,0.00079988,0.00074352,183571606.71854353,140851.3358731223061300,BTTUSDT
36,1565136000,0.00075385,0.00074824,0.00079834,0.00073590,174159253.19641309,134305.8535098647014190,BTTUSDT
37,1565222400,0.00074865,0.00073382,0.00078000,0.00071896,168962370.67830556,124506.1838133507676040,BTTUSDT
38,1565308800,0.00073326,0.00067606,0.00074729,0.00066728,247213810.93904814,173501.4300496207875302,BTTUSDT
39,1565395200,0.00067624,0.00067910,0.00069364,0.00064913,356235912.04465583,240118.4426141073022458,BTTUSDT
40,1565481600,0.00067949,0.00070207,0.00071282,0.00066839,426385938.34772125,294306.2061041910328800,BTTUSDT
41,1565568000,0.00069495,0.00067806,0.00070411,0.00067747,517510589.38493198,356692.7442346251016752,BTTUSDT
42,1565654400,0.00067827,0.00068814,0.00069628,0.00065542,539974432.62215984,365705.5697440747896965,BTTUSDT
43,1565740800,0.00068807,0.00061731,0.00069199,0.00061033,610739804.11098138,403905.9461281170472927,BTTUSDT
44,1565827200,0.00061752,0.00062664,0.00063973,0.00056460,710404521.25292582,432132.8344440193143762,BTTUSDT
45,1565913600,0.00062653,0.00062621,0.00064553,0.00060120,563344456.62343786,351060.1999574921241240,BTTUSDT
46,1566000000,0.00062587,0.00060769,0.00063183,0.00059465,640469243.19697458,393864.3324385706413440,BTTUSDT
47,1566086400,0.00060807,0.00064187,0.00066280,0.00060422,668422569.82400000,421480.2729846544970000,BTTUSDT
48,1566172800,0.00064088,0.00066058,0.00067769,0.00063810,658555095.97410855,434052.2488977463872910,BTTUSDT
49,1566259200,0.00066045,0.00063431,0.00066768,0.00062530,632660383.05194118,404916.6816265342933069,BTTUSDT
