asset,day,close,volume
bitcoin-classic,2020-02-10,0.07831257,14008.8104067131
bitcoin-classic,2020-02-11,0.18591145,27660.1263485768
bitcoin-classic,2020-02-12,0.19902776,39557.4443123197
bitcoin-classic,2020-02-13,0.16643602,33798.7890641666
bitcoin-classic,2020-02-14,0.15518327,25713.1654300004
bitcoin-classic,2020-02-15,0.17715384,25619.3367165273
bitcoin-classic,2020-02-16,0.19815214,31527.2485261489
bitcoin-classic,2020-02-17,0.20913187,24618.3550146378
bitcoin-classic,2020-02-18,0.19336565,32263.1986601187
bitcoin-classic,2020-02-19,0.18877962,26296.9822239742
bitcoin-classic,2020-02-20,0.17090361,24169.4785361234
bitcoin-classic,2020-02-21,0.16927402,28118.5881116366
bitcoin-classic,2020-02-22,0.16300651,26062.7242853362
bitcoin-classic,2020-02-23,0.15972762,26393.811226003
bitcoin-classic,2020-02-24,0.1503326,22244.1062127378
bitcoin-classic,2020-02-25,0.13050449,20152.5403368069
bitcoin-classic,2020-02-26,0.124105796,21215.1451719588
bitcoin-classic,2020-02-27,0.11789351,18908.9693744396
bitcoin-classic,2020-02-28,0.11404893,13495.6676632941
bitcoin-classic,2020-02-29,0.144754,12158.8028394957
bitcoin-classic,2020-03-01,0.12966332,7514.52161252155
bitcoin-classic,2020-03-02,0.12904653,19110.129533865
bitcoin-classic,2020-03-03,0.14040029,21587.7754594617
bitcoin-classic,2020-03-04,0.13772607,22608.1722806609
bitcoin-classic,2020-03-05,0.124109134,129682.444802843
bitcoin-classic,2020-03-06,0.11423189,114463.339908515
bitcoin-classic,2020-03-07,0.10581712,105450.449920525
bitcoin-classic,2020-03-08,0.10443249,98719.9996799443
bitcoin-classic,2020-03-09,0.083196044,84277.3494966554
bitcoin-classic,2020-03-10,0.08157983,83374.1346539808
bitcoin-classic,2020-03-11,0.07565208,74029.4878161214
bitcoin-classic,2020-03-12,0.047494236,48146.8218025944
bitcoin-classic,2020-03-13,0.052765533,45505.2425723561
bitcoin-classic,2020-03-14,0.04783155,48906.6201373396
bitcoin-classic,2020-03-15,0.0527661,48047.4037268333
bitcoin-classic,2020-03-16,0.045387562,46122.4582283855
bitcoin-classic,2020-03-17,0.046801344,45911.6479517246
bitcoin-classic,2020-03-18,0.04351659,37269.8035071256
bitcoin-classic,2020-03-19,0.04513861,58055.7432083217
bitcoin-classic,2020-03-20,0.04605416,48578.1194995398
bitcoin-classic,2020-03-21,0.054407563,48660.2456420263
bitcoin-classic,2020-03-22,0.038463917,43874.7059441578
bitcoin-classic,2020-03-23,0.047024004,34721.5912646278
bitcoin-classic,2020-03-24,0.044078644,38409.106256867
bitcoin-classic,2020-03-25,0.044316955,40204.0828550525
bitcoin-classic,2020-03-26,0.050317667,45678.6940994696
bitcoin-classic,2020-03-27,0.044193413,46726.1520901158
bitcoin-classic,2020-03-28,0.038512606,41139.3709738122
bitcoin-classic,2020-03-29,0.039158944,39677.6243073234
bitcoin-classic,2020-03-30,0.040437534,44128.691594431
bitcoin-classic,2020-03-31,0.04129798,40359.2891331434
bitcoin-classic,2020-04-01,0.042950053,28961.8822984776
bitcoin-classic,2020-04-02,0.041011572,32440.4400606536
bitcoin-classic,2020-04-03,0.04422423,23489.6684698014
bitcoin-classic,2020-04-04,0.044362165,23718.2593458054
bitcoin-classic,2020-04-05,0.044900674,21884.8358846229
bitcoin-classic,2020-04-06,0.043218467,24101.094654492
bitcoin-classic,2020-04-07,0.039247632,22822.8884968582
bitcoin-classic,2020-04-08,0.03788666,20483.7886140822
bitcoin-classic,2020-04-09,0.036171537,17317.671863629
bitcoin-classic,2020-04-10,0.031223658,18308.2171353986
bitcoin-classic,2020-04-11,0.031254936,15851.4761342845
bitcoin-classic,2020-04-12,0.036855146,18146.2076783657
bitcoin-classic,2020-04-13,0.06322369,41851.0852406147
bitcoin-classic,2020-04-14,0.04589401,30706.5126585386
bitcoin-classic,2020-04-15,0.043271746,22726.0633410717
bitcoin-classic,2020-04-16,0.047463547,25955.8325360351
bitcoin-classic,2020-04-17,0.046876412,24594.8303639877
bitcoin-classic,2020-04-18,0.044346623,25210.4671292267
bitcoin-classic,2020-04-19,0.034620237,24029.6275273748
bitcoin-classic,2020-04-20,0.034192733,18615.4119742104
bitcoin-classic,2020-04-21,0.03641431,16986.0490695195
bitcoin-classic,2020-04-22,0.033076588,9017.52750927652
bitcoin-classic,2020-04-23,0.03368847,18147.1719008872
bitcoin-classic,2020-04-24,0.036455594,20235.4378415069
bitcoin-classic,2020-04-25,0.036211256,19706.4961613229
bitcoin-classic,2020-04-26,0.037813965,21123.3813737992
bitcoin-classic,2020-04-27,0.0372419,21313.5900331154
bitcoin-classic,2020-04-28,0.039184883,22639.2156232932
bitcoin-classic,2020-04-29,0.04200709,24543.0481684047
bitcoin-classic,2020-04-30,0.04470442,22813.0401399718
bitcoin-classic,2020-05-01,0.0425752,22570.5003844489
bitcoin-classic,2020-05-02,0.042156346,22358.270703076
bitcoin-classic,2020-05-03,0.038276393,21191.8329033625
bitcoin-classic,2020-05-04,0.037813317,20957.2096978458
bitcoin-classic,2020-05-05,0.036316276,20628.2405497333
bitcoin-classic,2020-05-06,0.040118817,19189.6700037556
bitcoin-classic,2020-05-07,0.039820336,22130.3013759209
bitcoin-classic,2020-05-08,0.040854126,20948.7460055992
bitcoin-classic,2020-05-09,0.039700165,16867.1466072012
bitcoin-classic,2020-05-10,0.035088625,18818.8724543199
bitcoin-classic,2020-05-11,0.035445057,18954.7273195361
bitcoin-classic,2020-05-12,0.03676601,21109.254433367
bitcoin-classic,2020-05-13,0.037423886,20059.4134860312
bitcoin-classic,2020-05-14,0.039205365,21445.8911691055
bitcoin-classic,2020-05-15,0.036799233,16526.2929144231
bitcoin-classic,2020-05-16,0.0357477,14257.3353787886
bitcoin-classic,2020-05-17,0.037573703,20157.6589997846
bitcoin-classic,2020-05-18,0.034970965,19788.9335076307
bitcoin-classic,2020-05-19,0.032762777,18819.6038865446
bitcoin-classic,2020-05-20,0.03617292,18953.7189826225
bitcoin-classic,2020-05-21,0.05927578,22159.8963181757
bitcoin-classic,2020-05-22,0.046489865,28482.9830776562
bitcoin-classic,2020-05-23,0.042524718,31379.7933109255
bitcoin-classic,2020-05-24,0.040155593,31856.9311898599
bitcoin-classic,2020-05-25,0.037704416,31445.5101227496
bitcoin-classic,2020-05-26,0.037673824,29798.2098764126
bitcoin-classic,2020-05-27,0.03960237,60242.3670905029
bitcoin-classic,2020-05-28,0.038105328,65227.530584531
bitcoin-classic,2020-05-29,0.04145837,17888.8957473935
bitcoin-classic,2020-05-30,0.036253273,11414.2956400251
bitcoin-classic,2020-05-31,0.039311737,40026.0723084768
bitcoin-classic,2020-06-01,0.040218577,77102.1771814072
bitcoin-classic,2020-06-02,0.043395344,119595.001636687
bitcoin-classic,2020-06-03,0.041129027,41040.0500543998
bitcoin-classic,2020-06-04,0.04166287,63782.709116218
bitcoin-classic,2020-06-05,0.036923412,50209.1860426453
bitcoin-classic,2020-06-06,0.039223816,40582.3885360598
bitcoin-classic,2020-06-07,0.039029688,88530.6985212984
bitcoin-classic,2020-06-08,0.03697873,61260.9210070303
bitcoin-classic,2020-06-09,0.03566765,56584.3365803858
bitcoin-classic,2020-06-10,0.036899358,67830.4455992647
bitcoin-classic,2020-06-11,0.033258915,115629.315522042
bitcoin-classic,2020-06-12,0.03652135,46661.9014189052
bitcoin-classic,2020-06-13,0.035261422,34583.2301457571
bitcoin-classic,2020-06-14,0.03601052,55882.0998186258
bitcoin-classic,2020-06-15,0.033158697,133398.785130121
bitcoin-classic,2020-06-16,0.034355167,46479.3087098082
bitcoin-classic,2020-06-17,0.03374611,44286.9760906566
bitcoin-classic,2020-06-18,0.03472768,53274.1682899784
bitcoin-classic,2020-06-19,0.033718348,59991.9710585168
bitcoin-classic,2020-06-20,0.035510343,34290.8381120205
bitcoin-classic,2020-06-21,0.033811767,11833.6488654372
bitcoin-classic,2020-06-22,0.033449303,66833.2162106658
bitcoin-classic,2020-06-23,0.03333527,46176.953853516
bitcoin-classic,2020-06-24,0.033408344,65340.4263214562
