asset,day,close,volume
celer-network,2019-03-25,0.024446765,228240681.908348
celer-network,2019-03-26,0.018169584,124038991.737333
celer-network,2019-03-27,0.023149492,97303804.8181355
celer-network,2019-03-28,0.023156011,48117026.7080527
celer-network,2019-03-29,0.020909062,59752013.7565871
celer-network,2019-03-30,0.0201755,24280084.99051
celer-network,2019-03-31,0.019677391,10680365.5994564
celer-network,2019-04-01,0.01935462,10715821.7516643
celer-network,2019-04-02,0.020218598,28709240.2633326
celer-network,2019-04-03,0.018982466,16420597.8741036
celer-network,2019-04-04,0.018997038,9910755.05687387
celer-network,2019-04-05,0.019124052,5669695.75134854
celer-network,2019-04-06,0.01844634,8625625.73444084
celer-network,2019-04-07,0.01866487,4647009.41256758
celer-network,2019-04-08,0.01779274,6572227.86836669
celer-network,2019-04-09,0.01814972,38213157.4542361
celer-network,2019-04-10,0.018049723,23770383.7441894
celer-network,2019-04-11,0.018174134,13420247.8686883
celer-network,2019-04-12,0.018275032,15107309.890753
celer-network,2019-04-13,0.018455774,5844830.76447682
celer-network,2019-04-14,0.017809784,5007738.59477768
celer-network,2019-04-15,0.01725055,6218957.83513407
celer-network,2019-04-16,0.017486306,3066867.28530295
celer-network,2019-04-17,0.01809806,30680440.2871795
celer-network,2019-04-18,0.017877784,9278117.57627711
celer-network,2019-04-19,0.017769594,5141408.04870423
celer-network,2019-04-20,0.017857622,3177505.00292956
celer-network,2019-04-21,0.017643766,9271280.9209409
celer-network,2019-04-22,0.017830022,12653510.8107897
celer-network,2019-04-23,0.017423643,9451566.99105716
celer-network,2019-04-24,0.014337697,24627545.6334016
celer-network,2019-04-25,0.012225335,11254246.3156348
celer-network,2019-04-26,0.011351588,8476785.55359221
celer-network,2019-04-27,0.011454103,5287131.39065978
celer-network,2019-04-28,0.011148188,15549883.9838253
celer-network,2019-04-29,0.009344084,7179969.52446485
celer-network,2019-04-30,0.010055282,5838060.32048269
celer-network,2019-05-01,0.009870369,3613911.39256457
celer-network,2019-05-02,0.00959251,3136892.05353643
celer-network,2019-05-03,0.009556104,3746800.58489123
celer-network,2019-05-04,0.008729597,3794178.99437879
celer-network,2019-05-05,0.009204267,4363030.60944495
celer-network,2019-05-06,0.008992931,4939916.39396652
celer-network,2019-05-07,0.008610116,4532581.60429652
celer-network,2019-05-08,0.008253332,3706321.39267409
celer-network,2019-05-09,0.0073507875,4121308.75733586
celer-network,2019-05-10,0.007960648,4288682.67011587
celer-network,2019-05-11,0.008436012,6713262.17227331
celer-network,2019-05-12,0.008870171,24823252.5372848
celer-network,2019-05-13,0.009237593,13648136.4296954
celer-network,2019-05-14,0.01227365,19240376.5518556
celer-network,2019-05-15,0.012861324,16350022.5476077
celer-network,2019-05-16,0.011875183,15641697.0397429
celer-network,2019-05-17,0.0135124605,43252741.7397996
celer-network,2019-05-18,0.012465678,18550478.8641377
celer-network,2019-05-19,0.017212786,47218348.6364107
celer-network,2019-05-20,0.020890629,120020261.603585
celer-network,2019-05-21,0.01806162,148573008.883325
celer-network,2019-05-22,0.013732971,46286204.8006536
celer-network,2019-05-23,0.01471758,54381132.8056595
celer-network,2019-05-24,0.01360036,18783930.3064087
celer-network,2019-05-25,0.01385549,18574468.8087465
celer-network,2019-05-26,0.014345422,30324710.8814061
celer-network,2019-05-27,0.013632213,13703144.194762
celer-network,2019-05-28,0.014217707,19158847.1335913
celer-network,2019-05-29,0.014157375,14935312.8147957
celer-network,2019-05-30,0.013868519,24703251.2342667
celer-network,2019-05-31,0.0165458,45791189.2513602
celer-network,2019-06-01,0.01807445,39967915.8752462
celer-network,2019-06-02,0.017312333,25660712.6728144
celer-network,2019-06-03,0.015813995,21184329.4465335
celer-network,2019-06-04,0.016269991,25360119.1013333
celer-network,2019-06-05,0.019064229,49094419.2605583
celer-network,2019-06-06,0.01846017,37917467.0588435
celer-network,2019-06-07,0.019237954,18858163.2047234
celer-network,2019-06-08,0.019755773,18336626.7781581
celer-network,2019-06-09,0.018391125,23573111.4901528
celer-network,2019-06-10,0.019900465,23666449.6575515
celer-network,2019-06-11,0.020973846,27997937.7765336
celer-network,2019-06-12,0.020183662,37863690.9838702
celer-network,2019-06-13,0.019161925,30984419.2469283
celer-network,2019-06-14,0.01765323,30462060.7222102
celer-network,2019-06-15,0.01836005,22825220.6387718
celer-network,2019-06-16,0.018937776,20564845.793907
celer-network,2019-06-17,0.018267626,20343686.6356219
celer-network,2019-06-18,0.01926818,26272790.9108477
celer-network,2019-06-19,0.019980535,77701353.4421086
celer-network,2019-06-20,0.018466858,15621859.0837799
celer-network,2019-06-21,0.017478852,38245546.26248
celer-network,2019-06-22,0.017653406,14690145.8937026
celer-network,2019-06-23,0.016987776,10647336.4955085
celer-network,2019-06-24,0.016456807,22350758.9930625
celer-network,2019-06-25,0.015484222,9861170.09506016
celer-network,2019-06-26,0.013985783,14844435.9472088
celer-network,2019-06-27,0.01467766,18023046.2360981
celer-network,2019-06-28,0.014436837,10720090.3148818
celer-network,2019-06-29,0.016950829,19461977.5467498
celer-network,2019-06-30,0.016908223,55441120.0508795
celer-network,2019-07-01,0.018354561,13986436.7362638
celer-network,2019-07-02,0.016846552,15320390.4420074
celer-network,2019-07-03,0.017554032,24258647.6168973
celer-network,2019-07-04,0.016242296,13427369.5657549
celer-network,2019-07-05,0.01717068,13578989.5900278
celer-network,2019-07-06,0.015890459,18828525.9452446
celer-network,2019-07-07,0.01590784,7419085.14856233
celer-network,2019-07-08,0.014901704,17350404.0975783
celer-network,2019-07-09,0.014158118,10218063.8816229
celer-network,2019-07-10,0.01338824,13632045.073109
celer-network,2019-07-11,0.011695848,8929972.99767031
celer-network,2019-07-12,0.012745915,10842222.307287
celer-network,2019-07-13,0.013594653,13310768.6577965
celer-network,2019-07-14,0.011492353,7056883.87384299
celer-network,2019-07-15,0.011276827,6008206.554455
celer-network,2019-07-16,0.009660327,5392259.09516677
celer-network,2019-07-17,0.010448322,6555945.43154914
celer-network,2019-07-18,0.01090576,5783848.43396587
celer-network,2019-07-19,0.011024265,3689663.5595221
celer-network,2019-07-20,0.0113965245,4824150.01386582
celer-network,2019-07-21,0.010972985,3342068.81045581
celer-network,2019-07-22,0.010025829,4868158.51391455
celer-network,2019-07-23,0.009220622,4315804.99633425
celer-network,2019-07-24,0.009379822,3081150.3345237
celer-network,2019-07-25,0.009618285,4236076.59405473
celer-network,2019-07-26,0.010018743,3783105.01839907
celer-network,2019-07-27,0.009235515,3172588.80440391
celer-network,2019-07-28,0.009097469,2480365.86979239
celer-network,2019-07-29,0.009278536,2458297.67189337
celer-network,2019-07-30,0.009169457,2476939.94372111
celer-network,2019-07-31,0.009007661,2246753.11781692
celer-network,2019-08-01,0.008532219,2638802.92235359
celer-network,2019-08-02,0.008815471,3064609.62784822
celer-network,2019-08-03,0.008588686,2322151.55620171
celer-network,2019-08-04,0.008532095,2299285.03569631
celer-network,2019-08-05,0.008889973,5063970.98278519
celer-network,2019-08-06,0.009060886,9784838.99468649
celer-network,2019-08-07,0.010233558,12755085.9468787
celer-network,2019-08-08,0.008850115,7711769.33842377
celer-network,2019-08-09,0.007628337,3666297.11970457
celer-network,2019-08-10,0.008217892,3779550.20685772
celer-network,2019-08-11,0.008331566,5650551.0788217
celer-network,2019-08-12,0.008446128,3297564.9583484
celer-network,2019-08-13,0.008493977,6544645.48850594
celer-network,2019-08-14,0.007690558,5141171.81088182
celer-network,2019-08-15,0.007754367,3412664.62767492
celer-network,2019-08-16,0.0074269045,5333666.60473746
celer-network,2019-08-17,0.007722091,7120176.72195382
celer-network,2019-08-18,0.007861271,7000296.72522123
celer-network,2019-08-19,0.008511289,12360818.6837412
celer-network,2019-08-20,0.008694346,23517782.9465044
celer-network,2019-08-21,0.008216839,10961548.1087926
celer-network,2019-08-22,0.008294159,6362506.3218961
celer-network,2019-08-23,0.007966834,6540976.12705683
celer-network,2019-08-24,0.007914236,5559490.56918321
celer-network,2019-08-25,0.0074265646,5568093.48787301
celer-network,2019-08-26,0.0072358125,6365586.77742565
celer-network,2019-08-27,0.0073464736,5724227.76860636
celer-network,2019-08-28,0.0065748654,6283902.82608758
celer-network,2019-08-29,0.006117499,6606298.12863999
celer-network,2019-08-30,0.006143652,4388621.10107602
celer-network,2019-08-31,0.0058360724,4176315.065763
celer-network,2019-09-01,0.005762687,4794623.12486128
celer-network,2019-09-02,0.0060141897,8153250.2835668
celer-network,2019-09-03,0.0057855584,4792239.18878857
celer-network,2019-09-04,0.005639794,5652163.52512201
celer-network,2019-09-05,0.0057728766,4958703.56080276
celer-network,2019-09-06,0.00537402,5510560.81898208
celer-network,2019-09-07,0.005518001,4745555.82974288
celer-network,2019-09-08,0.005627374,5218284.97014914
celer-network,2019-09-09,0.005881422,5542053.1644004
celer-network,2019-09-10,0.0055894004,4106033.51210571
celer-network,2019-09-11,0.005463128,3651560.4390711
celer-network,2019-09-12,0.0052702846,6302100.57566428
celer-network,2019-09-13,0.0052483496,4625038.37415418
celer-network,2019-09-14,0.005201389,3883971.20559359
celer-network,2019-09-15,0.005362696,5327436.9504312
celer-network,2019-09-16,0.005459705,4725360.75402961
