asset,day,close,volume
ixinium,2020-04-22,0.23148607,0
ixinium,2020-04-23,0.27658492,0
ixinium,2020-04-24,0.33116254,0
ixinium,2020-04-25,0.3418018,0
ixinium,2020-04-26,0.35449415,0
ixinium,2020-04-27,0.3835545,0
ixinium,2020-04-28,0.37902498,0
ixinium,2020-04-29,0.35995457,0
ixinium,2020-04-30,0.2876845,0
ixinium,2020-05-01,0.26854602,0
ixinium,2020-05-02,0.3016074,0
ixinium,2020-05-03,0.28780904,0
ixinium,2020-05-04,0.29133126,0
ixinium,2020-05-05,0.34409422,0
ixinium,2020-05-06,0.28477976,0
ixinium,2020-05-07,0.28205174,0
ixinium,2020-05-08,0.2875741,0
ixinium,2020-05-09,0.26268652,0
ixinium,2020-05-10,0.32037306,0
ixinium,2020-05-11,0.23647597,0
ixinium,2020-05-12,0.27947518,0
ixinium,2020-05-13,0.33013323,0
ixinium,2020-05-14,0.27978322,0
ixinium,2020-05-15,0.27299523,0
ixinium,2020-05-16,0.2860614,0
ixinium,2020-05-17,0.3510748,0
ixinium,2020-05-18,0.5092687,1030.79483030325
ixinium,2020-05-19,0.17071263,1.80101832643104
ixinium,2020-05-20,0.56685007,19319.4403051109
ixinium,2020-05-21,0.4252761,1136.99245382716
ixinium,2020-05-22,0.2424603,2.75485755074292
ixinium,2020-05-23,0.4533503,3.73930072744094
ixinium,2020-05-24,0.42234293,0.844685877090223
ixinium,2020-05-25,0.54149383,205.906204349914
ixinium,2020-05-26,0.20209587,2.13211237329364
ixinium,2020-05-27,0.57715154,1286.97865504564
ixinium,2020-05-28,0.358031,73.5102396478634
ixinium,2020-05-29,0.44424736,2.33751542063632
ixinium,2020-05-30,0.6301178,3478.35912031941
ixinium,2020-05-31,0.32650602,4.36833342332599
ixinium,2020-06-01,0.24683589,2.85095446196406
ixinium,2020-06-02,0.23944089,264.148363437745
ixinium,2020-06-03,0.26987845,2.84721764087174
ixinium,2020-06-04,0.28134367,2.96817566857075
ixinium,2020-06-05,0.2826809,2.98585511261181
ixinium,2020-06-06,0.3314225,0
ixinium,2020-06-07,0.32543576,0
ixinium,2020-06-08,0.6375995,15.9399883157182
ixinium,2020-06-09,0.30402282,3.4958757292173
ixinium,2020-06-10,0.63834023,0.638340255735111
ixinium,2020-06-11,0.34827128,0.000348271277694494
ixinium,2020-06-12,0.28735194,27.2438380679692
ixinium,2020-06-13,0.3156619,59.2110409200692
ixinium,2020-06-14,0.30871955,0.0544740042519397
ixinium,2020-06-15,0.59280246,245.30766781229
ixinium,2020-06-16,0.28954437,239.342339430911
ixinium,2020-06-17,0.28607145,0
ixinium,2020-06-18,0.27899328,42.2729247524529
ixinium,2020-06-19,0.27332112,423.725155715802
ixinium,2020-06-20,0.27748984,133.195130226818
ixinium,2020-06-21,0.27566317,9.64821085429975
ixinium,2020-06-22,0.21893254,9065.50948190898
ixinium,2020-06-23,0.24284899,29486.1522950898
ixinium,2020-06-24,0.22193916,78055.3535357016
