,time,volume,close,high,low,open,market_name
0,1556236800000,51641497.954369,3.352e-05,9.835e-05,2.85e-05,6.365e-05,drep-_eth
1,1556323200000,8826287.0959847,3.368e-05,4.111e-05,3.246e-05,3.254e-05,drep-_eth
2,1556409600000,9045155.3583306,2.98e-05,3.361e-05,2.85e-05,3.361e-05,drep-_eth
3,1556496000000,4986876.8207663,2.42e-05,2.989e-05,2.317e-05,2.914e-05,drep-_eth
4,1556582400000,2034689.1253517,2.2e-05,2.778e-05,2.038e-05,2.432e-05,drep-_eth
5,1556668800000,1476205.3152336,2.063e-05,2.28e-05,2.001e-05,2.256e-05,drep-_eth
6,1556755200000,707073.0369172,1.857e-05,2.022e-05,1.66e-05,2.022e-05,drep-_eth
7,1556841600000,468956.21147634,1.748e-05,2.264e-05,1.692e-05,1.979e-05,drep-_eth
8,1556928000000,1137533.3037102,1.999e-05,2.393e-05,1.692e-05,1.734e-05,drep-_eth
9,1557014400000,591703.09545292,2.194e-05,2.35e-05,2.072e-05,2.072e-05,drep-_eth
10,1557100800000,427638.9566665,2.057e-05,2.164e-05,1.973e-05,2.164e-05,drep-_eth
11,1557187200000,224714.69479745,1.794e-05,1.845e-05,1.689e-05,1.845e-05,drep-_eth
12,1557273600000,944790.32068656,1.983e-05,2.223e-05,1.757e-05,1.851e-05,drep-_eth
13,1557360000000,274978.25798752,1.768e-05,1.902e-05,1.768e-05,1.848e-05,drep-_eth
14,1557446400000,565843.47852189,1.768e-05,2e-05,1.688e-05,1.786e-05,drep-_eth
15,1557532800000,1033009.43399,1.655e-05,1.9e-05,1.633e-05,1.789e-05,drep-_eth
16,1557619200000,241190.87599873,1.62e-05,1.723e-05,1.401e-05,1.679e-05,drep-_eth
17,1557705600000,185119.89202554,1.539e-05,1.687e-05,1.458e-05,1.638e-05,drep-_eth
18,1557792000000,297376.17632048,1.525e-05,1.561e-05,1.464e-05,1.561e-05,drep-_eth
19,1557878400000,435656.67972416,1.345e-05,1.456e-05,1.251e-05,1.433e-05,drep-_eth
20,1557964800000,1009677.5798724,1.224e-05,1.4e-05,1.183e-05,1.368e-05,drep-_eth
21,1558051200000,3395759.3239725,1.425e-05,1.551e-05,1.232e-05,1.479e-05,drep-_eth
22,1558137600000,595951.88152733,1.611e-05,1.887e-05,1.403e-05,1.487e-05,drep-_eth
23,1558224000000,297091.01688527,1.577e-05,1.728e-05,1.533e-05,1.569e-05,drep-_eth
24,1558310400000,382268.88086264,1.89e-05,1.89e-05,1.624e-05,1.624e-05,drep-_eth
25,1558396800000,8520216.9097965,1.647e-05,2.288e-05,1.623e-05,1.814e-05,drep-_eth
26,1558483200000,3503325.5301832,1.622e-05,1.975e-05,1.489e-05,1.679e-05,drep-_eth
27,1558569600000,697705.89162392,1.512e-05,1.701e-05,1.488e-05,1.599e-05,drep-_eth
28,1558656000000,2148472.8316751,1.493e-05,1.675e-05,1.493e-05,1.502e-05,drep-_eth
29,1558742400000,385264.92407928,1.493e-05,1.55e-05,1.437e-05,1.516e-05,drep-_eth
30,1558828800000,441955.97890173,1.418e-05,1.549e-05,1.418e-05,1.444e-05,drep-_eth
31,1558915200000,2227595.9201594,1.437e-05,1.484e-05,1.18e-05,1.419e-05,drep-_eth
32,1559001600000,190802.08407088,1.402e-05,1.467e-05,1.402e-05,1.41e-05,drep-_eth
33,1559088000000,496940.9115702,1.381e-05,1.409e-05,1.381e-05,1.409e-05,drep-_eth
34,1559174400000,852911.74104462,1.323e-05,1.523e-05,1.267e-05,1.38e-05,drep-_eth
35,1559260800000,611775.76324318,1.333e-05,1.384e-05,1.134e-05,1.268e-05,drep-_eth
36,1559347200000,80035.74327648,1.28e-05,1.312e-05,1.234e-05,1.296e-05,drep-_eth
37,1559433600000,220606.3085751,1.211e-05,1.283e-05,1.211e-05,1.283e-05,drep-_eth
38,1559520000000,1804451.2595408,1.208e-05,1.255e-05,1.183e-05,1.255e-05,drep-_eth
39,1559606400000,1605731.0049546,1.203e-05,1.208e-05,1.13e-05,1.191e-05,drep-_eth
40,1559692800000,489866.40233261,1.162e-05,1.206e-05,1.136e-05,1.183e-05,drep-_eth
41,1559779200000,485345.48815986,1.225e-05,1.242e-05,1.18e-05,1.205e-05,drep-_eth
42,1559865600000,320086.66693196,1.167e-05,1.232e-05,1.164e-05,1.193e-05,drep-_eth
43,1559952000000,289758.93058067,1.214e-05,1.339e-05,1.161e-05,1.177e-05,drep-_eth
44,1560038400000,328299.48552034,1.243e-05,1.269e-05,1.216e-05,1.265e-05,drep-_eth
45,1560124800000,1292282.8575797,1.204e-05,1.291e-05,1.18e-05,1.242e-05,drep-_eth
46,1560211200000,184362.03470318,1.21e-05,1.23e-05,1.157e-05,1.179e-05,drep-_eth
47,1560297600000,1700520.388595,1.131e-05,1.244e-05,1.131e-05,1.243e-05,drep-_eth
48,1560384000000,162667.40358354,1.129e-05,1.156e-05,1.121e-05,1.131e-05,drep-_eth
49,1560470400000,677744.64292075,1.1e-05,1.186e-05,1.1e-05,1.132e-05,drep-_eth
50,1560556800000,779009.96968931,1.189e-05,1.254e-05,1.076e-05,1.076e-05,drep-_eth
51,1560643200000,116924.77808055,1.098e-05,1.228e-05,1.098e-05,1.19e-05,drep-_eth
52,1560729600000,61863.262526,1.05e-05,1.098e-05,1.05e-05,1.097e-05,drep-_eth
53,1560816000000,329560.67360651,1.138e-05,1.141e-05,1.065e-05,1.141e-05,drep-_eth
54,1560902400000,2769163.4414917,1.64e-05,1.68e-05,1.127e-05,1.127e-05,drep-_eth
55,1560988800000,1137024.0436278,1.333e-05,1.775e-05,1.187e-05,1.775e-05,drep-_eth
56,1561075200000,216288.35070138,1.44e-05,1.469e-05,1.242e-05,1.405e-05,drep-_eth
57,1561161600000,424787.2261864,1.241e-05,1.322e-05,1.119e-05,1.322e-05,drep-_eth
58,1561248000000,143819.31300724,1.145e-05,1.18e-05,1.11e-05,1.154e-05,drep-_eth
59,1561334400000,604967.55090445,1.034e-05,1.198e-05,1.034e-05,1.198e-05,drep-_eth
60,1561420800000,5992255.9968769,9.59e-06,1.03599e-05,9.01e-06,1.03599e-05,drep-_eth
61,1561507200000,6053246.4771493,7.84e-06,9.9e-06,7.07e-06,9.62e-06,drep-_eth
62,1561593600000,4020836.0799968,9.65e-06,1.15e-05,7.81e-06,8e-06,drep-_eth
63,1561680000000,4768187.5729611,1.247e-05,1.323e-05,8.9e-06,1.107e-05,drep-_eth
64,1561766400000,125641.61378308,1.154e-05,1.285e-05,1.056e-05,1.245e-05,drep-_eth
65,1561852800000,4188016.8339341,1.41e-05,1.739e-05,1.199e-05,1.199e-05,drep-_eth
66,1561939200000,628025.57998201,1.223e-05,1.375e-05,1.223e-05,1.329e-05,drep-_eth
67,1562025600000,273009.73334677,1.27e-05,1.32e-05,1.256e-05,1.285e-05,drep-_eth
68,1562112000000,1359347.2295796,1.335e-05,1.477e-05,1.233e-05,1.233e-05,drep-_eth
69,1562198400000,912707.65138534,1.268e-05,1.43e-05,1.236e-05,1.333e-05,drep-_eth
70,1562284800000,1320944.7179716,1.359e-05,1.404e-05,1.155e-05,1.305e-05,drep-_eth
71,1562371200000,492572.24366358,1.33e-05,1.366e-05,1.299e-05,1.339e-05,drep-_eth
72,1562457600000,1106667.1280247,1.385e-05,1.648e-05,1.312e-05,1.33e-05,drep-_eth
73,1562544000000,1568762.1926629,1.414e-05,1.551e-05,1.265e-05,1.336e-05,drep-_eth
74,1562630400000,1120452.1989196,1.322e-05,1.5e-05,1.211e-05,1.396e-05,drep-_eth
75,1562716800000,1245183.7823279,1.321e-05,1.406e-05,1.281e-05,1.368e-05,drep-_eth
76,1562803200000,92856.626117327,1.25e-05,1.331e-05,1.25e-05,1.315e-05,drep-_eth
77,1562889600000,688349.82533688,1.269e-05,1.324e-05,1.249e-05,1.251e-05,drep-_eth
78,1562976000000,59713.052,1.305e-05,1.305e-05,1.298e-05,1.3e-05,drep-_eth
79,1563062400000,4324909.0545661,1.738e-05,1.738e-05,1.359e-05,1.359e-05,drep-_eth
80,1563148800000,1426149.8171962,1.792e-05,1.888e-05,1.646e-05,1.71e-05,drep-_eth
81,1563235200000,243168.08690231,1.734e-05,1.785e-05,1.628e-05,1.713e-05,drep-_eth
82,1563321600000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
83,1563408000000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
84,1563494400000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
85,1563580800000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
86,1563667200000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
87,1563753600000,0.0,1.734e-05,1.734e-05,1.734e-05,1.734e-05,drep-_eth
88,1563840000000,246796.01905596,1.687e-05,1.726e-05,1.64e-05,1.658e-05,drep-_eth
89,1563926400000,304194.10346463,1.726e-05,1.86e-05,1.715e-05,1.724e-05,drep-_eth
