,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1578009600000,3e-7,3e-7,3e-7,3e-7,1666,1578095999999,0.0004998,2,2,,0,BELLBTC
1,1578096000000,3e-7,3e-7,3e-7,3e-7,98531,1578182399999,0.0295593,2,2,,0,BELLBTC
2,1579478400000,3e-7,3e-7,3e-7,3e-7,496,1579564799999,0.0001488,1,1,,0,BELLBTC
3,1579737600000,0.00001,0.00001,0.00001,0.00001,10,1579823999999,0.0001,1,1,,0,BELLBTC
4,1579910400000,3e-7,3e-7,3e-7,3e-7,19390,1579996799999,0.005817,2,0,,0,BELLBTC
5,1580947200000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,1697,1581033599999,0.00025455,1,0,,0,BELLBTC
6,1581033600000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,2703,1581119999999,0.00040545,1,0,,0,BELLBTC
7,1581120000000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,5204,1581206399999,0.0007806,1,0,,0,BELLBTC
8,1583280000000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,8172,1583366399999,0.0012258,1,0,,0,BELLBTC
9,1585008000000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,5588,1585094399999,0.0008382,1,0,,0,BELLBTC
10,1585094400000,1.5e-7,1.5e-7,1.5e-7,1.5e-7,5428,1585180799999,0.0008142,2,0,,0,BELLBTC
11,1585180800000,1.5e-7,2e-7,1.5e-7,2e-7,2690,1585267199999,0.00046885,3,1,,0,BELLBTC
12,1585267200000,2e-7,2e-7,2e-7,2e-7,696,1585353599999,0.0001392,1,0,,0,BELLBTC
13,1585440000000,2e-7,2e-7,1.9e-7,1.9e-7,22463,1585526399999,0.0044026,2,0,,0,BELLBTC
14,1587081600000,1.9e-7,1.9e-7,1.9e-7,1.9e-7,987,1587167999999,0.00018753,1,0,,0,BELLBTC
15,1588636800000,2.5e-7,2.5e-7,2.5e-7,2.5e-7,22760,1588723199999,0.00569,1,1,,0,BELLBTC
16,1589500800000,1.9e-7,1.9e-7,1.9e-7,1.9e-7,1071,1589587199999,0.00020349,1,0,,0,BELLBTC
