,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1570060800000,2.2e-7,9.8e-7,2.1e-7,9.8e-7,567139,1570147199999,0.32614054,6941,3466,,0,BZOBTC
1,1570147200000,9.7e-7,9.9e-7,1.8e-7,7.4e-7,964430,1570233599999,0.62557784,12252,6237,,0,BZOBTC
2,1570233600000,7.4e-7,9.9e-7,1.8e-7,9.4e-7,989784,1570319999999,0.67893617,12115,6018,,0,BZOBTC
3,1570320000000,9.1e-7,9.9e-7,2.3e-7,9.2e-7,937954,1570406399999,0.73166284,11825,5852,,0,BZOBTC
4,1570406400000,9.2e-7,9.9e-7,1.8e-7,7.7e-7,899883,1570492799999,0.52489598,11412,5689,,0,BZOBTC
5,1570492800000,7.5e-7,9.9e-7,2.1e-7,8e-7,882677,1570579199999,0.6449845,10912,5472,,0,BZOBTC
6,1570579200000,8e-7,9.9e-7,2e-7,2e-7,683490,1570665599999,0.48551068,8458,4237,,0,BZOBTC
7,1570665600000,2e-7,9.9e-7,2e-7,7.5e-7,826825,1570751999999,0.59881977,10359,5217,,0,BZOBTC
8,1570752000000,7.5e-7,9.9e-7,2e-7,6.7e-7,905145,1570838399999,0.64659631,11498,5781,,0,BZOBTC
9,1570838400000,6.8e-7,9.9e-7,2.3e-7,8.8e-7,941041,1570924799999,0.65979853,11858,5903,,0,BZOBTC
10,1570924800000,8.8e-7,9.9e-7,2e-7,9.6e-7,968507,1571011199999,0.62543237,11852,5922,,0,BZOBTC
11,1571011200000,9.6e-7,9.9e-7,2.1e-7,4.4e-7,890291,1571097599999,0.64373284,11229,5591,,0,BZOBTC
12,1571097600000,4.4e-7,9.9e-7,2.2e-7,3.1e-7,865207,1571183999999,0.67617112,10927,5473,,0,BZOBTC
13,1571184000000,2.8e-7,9.9e-7,2e-7,6.5e-7,881462,1571270399999,0.62336028,10860,5488,,0,BZOBTC
14,1571270400000,6.2e-7,9.9e-7,2e-7,6.8e-7,850400,1571356799999,0.62636841,10770,5321,,0,BZOBTC
15,1571356800000,6.8e-7,9.9e-7,2e-7,7e-7,840446,1571443199999,0.56691401,10411,5184,,0,BZOBTC
16,1571443200000,6.6e-7,9.9e-7,2.2e-7,9.6e-7,844856,1571529599999,0.62829137,10553,5285,,0,BZOBTC
17,1571529600000,9.6e-7,9.9e-7,2e-7,5.4e-7,835024,1571615999999,0.6147609,10420,5262,,0,BZOBTC
18,1571616000000,4.9e-7,9.9e-7,2e-7,7.9e-7,877875,1571702399999,0.62566456,10904,5502,,0,BZOBTC
19,1571702400000,7.6e-7,9.9e-7,2e-7,7.9e-7,844705,1571788799999,0.60690293,10596,5240,,0,BZOBTC
20,1571788800000,7.4e-7,9.9e-7,2.1e-7,6.1e-7,817699,1571875199999,0.52178547,10246,5112,,0,BZOBTC
21,1571875200000,6.1e-7,9.9e-7,2e-7,8.5e-7,806931,1571961599999,0.51755043,10218,5201,,0,BZOBTC
