,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1586304000000,0.00102,0.00102,0.00102,0.00102,1,1586390399999,0.00102,1,1,,0,EXMRETH
1,1586476800000,0.00029,0.00029,0.00025,0.00025,213,1586563199999,0.05777,3,0,,0,EXMRETH
2,1587427200000,0.00024,0.00025,0.00024,0.00025,407,1587513599999,0.10124,2,2,,0,EXMRETH
3,1587600000000,0.000191,0.00019899,0.00005104,0.00014614,63328,1587686399999,9.69110429,1302,622,,0,EXMRETH
4,1587686400000,0.00014205,0.00018965,0.00005061,0.00016791,68021,1587772799999,8.05922263,1428,705,,0,EXMRETH
5,1587772800000,0.00010226,0.00018981,0.00005064,0.00008972,65985,1587859199999,8.13714354,1405,709,,0,EXMRETH
6,1587859200000,0.00012545,0.00018949,0.00005299,0.00013577,70220,1587945599999,8.42663851,1440,711,,0,EXMRETH
7,1587945600000,0.00010865,0.00018795,0.00005007,0.00013041,35897,1588031999999,4.16889167,697,352,,0,EXMRETH
8,1588032000000,0.00011194,0.000185,0.00005174,0.00012105,66724,1588118399999,7.03640267,1343,657,,0,EXMRETH
9,1588118400000,0.000084,0.00015827,0.00007423,0.0001018,31078,1588204799999,3.37722375,626,319,,0,EXMRETH
10,1588204800000,0.00008363,0.00015983,0.0000739,0.00010695,60980,1588291199999,6.72062521,1271,610,,0,EXMRETH
11,1588291200000,0.00011227,0.00015909,0.00007378,0.00013749,67552,1588377599999,7.40768909,1416,706,,0,EXMRETH
12,1588377600000,0.00009744,0.0001521,0.00005072,0.00006458,64965,1588463999999,6.97597831,1318,663,,0,EXMRETH
13,1588464000000,0.00012047,0.0001518,0.00005085,0.00012477,69164,1588550399999,7.0155171,1440,710,,0,EXMRETH
14,1588550400000,0.0000529,0.00015202,0.00005059,0.00007626,68724,1588636799999,6.87386373,1440,743,,0,EXMRETH
15,1588636800000,0.00010088,0.00015161,0.00005108,0.0000922,70976,1588723199999,7.07814955,1446,707,,0,EXMRETH
16,1588723200000,0.00011719,0.00015193,0.00005053,0.00007205,69676,1588809599999,6.93571458,1440,729,,0,EXMRETH
17,1588809600000,0.00007337,0.00015983,0.00005154,0.00007701,71085,1588895999999,7.24394071,1441,705,,0,EXMRETH
18,1588896000000,0.00006235,0.00015851,0.0000511,0.0000805,52422,1588982399999,5.04218859,1074,556,,0,EXMRETH
19,1588982400000,0.00007727,0.00014994,0.00005312,0.00009586,25607,1589068799999,2.4911867,507,257,,0,EXMRETH
20,1589155200000,0.00011558,0.00011626,0.0001098,0.00011592,62232,1589241599999,7.06550406,1308,642,,0,EXMRETH
21,1589241600000,0.00011286,0.00014944,0.00005082,0.00009883,70164,1589327999999,6.90360583,1442,727,,0,EXMRETH
22,1589328000000,0.00009422,0.00014907,0.00005037,0.00012838,71086,1589414399999,6.79320798,1440,712,,0,EXMRETH
23,1589414400000,0.00012883,0.00014855,0.00005149,0.00008779,69109,1589500799999,6.53274977,1445,747,,0,EXMRETH
24,1589500800000,0.00005871,0.00013956,0.00005032,0.00011572,63295,1589587199999,5.55479017,1307,665,,0,EXMRETH
