,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1571097600000,0.00007706,0.000079,0.0000765,0.0000787,14799,1571183999999,1.14871914,4615,2313,,0,FSTBTC
1,1571184000000,0.00007886,0.00007999,0.00007654,0.0000795,26613,1571270399999,2.08615303,8257,4147,,0,FSTBTC
2,1571270400000,0.00007955,0.00007955,0.00007901,0.0000794,26581,1571356799999,2.10971285,8169,4101,,0,FSTBTC
3,1571356800000,0.00007941,0.00007955,0.000076,0.000076,8284,1571443199999,0.65021723,2518,1236,,0,FSTBTC
4,1571443200000,0.000076,0.00008497,0.000076,0.00007978,12982,1571529599999,1.04010352,3923,1965,,0,FSTBTC
5,1571529600000,0.00007963,0.000085,0.00007616,0.00008417,25875,1571615999999,2.13600754,7993,3973,,0,FSTBTC
6,1571616000000,0.00008409,0.000085,0.00008205,0.00008432,26276,1571702399999,2.20651094,8095,3994,,0,FSTBTC
7,1571702400000,0.00008431,0.00008499,0.00008202,0.00008393,26334,1571788799999,2.20588505,8093,3986,,0,FSTBTC
8,1571788800000,0.00008393,0.000089,0.000082,0.00008822,25134,1571875199999,2.15826324,7801,3911,,0,FSTBTC
9,1571875200000,0.00008822,0.00008899,0.00008,0.00008679,17270,1571961599999,1.5157296,5543,2781,,0,FSTBTC
10,1571961600000,0.0000871,0.00011499,0.00008608,0.00011435,23639,1572047999999,2.3441897,7340,3685,,0,FSTBTC
11,1572048000000,0.00011443,0.00011499,0.00011,0.00011,12151,1572134399999,1.37693445,3750,1900,,0,FSTBTC
12,1572134400000,0.00011061,0.00011489,0.00009492,0.00010758,12002,1572220799999,1.30222123,3775,1882,,0,FSTBTC
13,1572220800000,0.00010758,0.00011492,0.00009476,0.00010896,21910,1572307199999,2.35245839,6833,3379,,0,FSTBTC
14,1572307200000,0.00010878,0.00011216,0.00009,0.00009,13826,1572393599999,1.47314176,4246,2144,,0,FSTBTC
15,1572393600000,0.00009505,0.00010771,0.000095,0.00009917,25551,1572479999999,2.63342484,8008,4027,,0,FSTBTC
16,1572480000000,0.00009917,0.00010764,0.000092,0.00009487,27125,1572566399999,2.71960042,8454,4277,,0,FSTBTC
17,1572566400000,0.00009487,0.00010979,0.00009215,0.00010773,26442,1572652799999,2.70075852,8209,4119,,0,FSTBTC
18,1572652800000,0.00010773,0.0001097,0.000097,0.0001051,24454,1572739199999,2.57359566,7598,3760,,0,FSTBTC
19,1572739200000,0.00010526,0.00010979,0.0000972,0.0001062,26639,1572825599999,2.80788297,8349,4162,,0,FSTBTC
20,1572825600000,0.00010549,0.00010983,0.00009719,0.0001037,27748,1572911999999,2.92328065,8500,4228,,0,FSTBTC
21,1572912000000,0.0001037,0.00010978,0.00009736,0.00010915,27342,1572998399999,2.88238878,8428,4218,,0,FSTBTC
22,1572998400000,0.00010795,0.00010969,0.0000972,0.00010114,25391,1573084799999,2.60255661,7915,3916,,0,FSTBTC
23,1573084800000,0.00010074,0.00010982,0.00000299,0.00010403,25139,1573171199999,2.56637334,8041,4096,,0,FSTBTC
24,1573171200000,0.00010812,0.00011217,0.00009806,0.00011161,25254,1573257599999,2.7177928,8109,4085,,0,FSTBTC
25,1573257600000,0.00011132,0.00011219,0.00010505,0.00011141,26789,1573343999999,2.9511697,8356,4175,,0,FSTBTC
26,1573344000000,0.00011141,0.00011219,0.00010504,0.00011026,27572,1573430399999,3.03361197,8475,4208,,0,FSTBTC
27,1573430400000,0.0001104,0.00011215,0.00008505,0.00009885,26625,1573516799999,2.74021155,8170,4056,,0,FSTBTC
28,1573516800000,0.00009913,0.00010668,0.000093,0.00010535,25851,1573603199999,2.55005812,8102,4123,,0,FSTBTC
29,1573603200000,0.00010535,0.00010672,0.00009951,0.00010589,11759,1573689599999,1.22125181,3759,1913,,0,FSTBTC
30,1573689600000,0.00010589,0.00010674,0.0000993,0.00010556,22130,1573775999999,2.30257956,6751,3365,,0,FSTBTC
31,1573776000000,0.00010556,0.00010674,0.00009909,0.00010279,15990,1573862399999,1.6643357,4946,2471,,0,FSTBTC
32,1573862400000,0.00010304,0.00010673,0.00009927,0.00010475,27100,1573948799999,2.8360496,8359,4217,,0,FSTBTC
33,1573948800000,0.00010475,0.00010674,0.00009563,0.00010227,27546,1574035199999,2.86451332,8551,4244,,0,FSTBTC
34,1574035200000,0.00010275,0.00011217,0.000095,0.00011116,27546,1574121599999,2.85729078,8436,4253,,0,FSTBTC
35,1574121600000,0.00011116,0.00011218,0.00005279,0.00010967,17558,1574207999999,1.91085954,5233,2579,,0,FSTBTC
36,1574294400000,0.00008732,0.00035529,0.00006403,0.00014974,17796,1574380799999,2.44915094,5718,2920,,0,FSTBTC
37,1574380800000,0.00014964,0.00042589,0.00013796,0.00017752,25971,1574467199999,4.0346171,7986,4005,,0,FSTBTC
38,1574467200000,0.00017752,0.00018495,0.00017,0.00017999,23698,1574553599999,4.27101287,7445,3777,,0,FSTBTC
39,1574553600000,0.00017999,0.00034399,0.0001607,0.00020543,25163,1574639999999,4.5972759,7630,3870,,0,FSTBTC
40,1574640000000,0.00020543,0.0008976,0.00003069,0.00021762,24772,1574726399999,5.02173191,7667,3877,,0,FSTBTC
41,1574726400000,0.00021843,0.00021987,0.00015,0.00021491,24265,1574812799999,5.03188999,7636,3769,,0,FSTBTC
42,1574812800000,0.00021491,0.00021993,0.00019118,0.00021617,25130,1574899199999,5.32454249,7856,3917,,0,FSTBTC
43,1574899200000,0.00021617,0.00022,0.00019074,0.00020634,24850,1574985599999,5.2613,7499,3833,,0,FSTBTC
44,1574985600000,0.00020634,0.00023485,0.00017,0.00023396,15084,1575071999999,3.34822979,4646,2326,,0,FSTBTC
45,1575072000000,0.00023396,0.00023489,0.00018064,0.00019542,23320,1575158399999,4.92266236,7264,3679,,0,FSTBTC
46,1575158400000,0.00019542,0.0002649,0.00018134,0.00026306,23578,1575244799999,5.38289444,7315,3580,,0,FSTBTC
