,open_time,,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.57006E+12,2019/10/3,2.70E-07,9.90E-07,1.90E-07,9.80E-07,5554181,1.57015E+12,3.86264639,6642,3310,,0,GCZBTC
1,1.57015E+12,2019/10/4,9.70E-07,9.90E-07,1.90E-07,6.40E-07,9401083,1.57023E+12,6.7503281,11775,5871,,0,GCZBTC
2,1.57023E+12,2019/10/5,6.40E-07,9.90E-07,2.00E-07,7.60E-07,9612109,1.57032E+12,6.9672994,11778,5890,,0,GCZBTC
3,1.57032E+12,2019/10/6,7.50E-07,9.90E-07,1.90E-07,8.10E-07,9455339,1.57041E+12,6.48053377,11585,5856,,0,GCZBTC
4,1.57041E+12,2019/10/7,8.20E-07,9.90E-07,1.90E-07,8.90E-07,8707639,1.57049E+12,6.4201464,11228,5676,,0,GCZBTC
5,1.57049E+12,2019/10/8,8.20E-07,9.90E-07,2.10E-07,7.90E-07,8432786,1.57058E+12,5.63568768,10634,5342,,0,GCZBTC
6,1.57058E+12,2019/10/9,7.90E-07,9.90E-07,2.20E-07,4.10E-07,6706280,1.57067E+12,4.68115263,8274,4161,,0,GCZBTC
7,1.57067E+12,2019/10/10,4.10E-07,9.90E-07,2.10E-07,5.80E-07,8119453,1.57075E+12,5.48295029,10062,5126,,0,GCZBTC
8,1.57075E+12,2019/10/11,5.80E-07,9.90E-07,2.20E-07,8.20E-07,9195221,1.57084E+12,6.77857965,11200,5606,,0,GCZBTC
9,1.57084E+12,2019/10/12,8.20E-07,9.90E-07,2.40E-07,6.20E-07,9205602,1.57092E+12,6.36803291,11497,5731,,0,GCZBTC
10,1.57092E+12,2019/10/13,6.10E-07,9.90E-07,3.00E-07,5.00E-07,9207629,1.57101E+12,6.93834766,11464,5763,,0,GCZBTC
11,1.57101E+12,2019/10/14,4.90E-07,9.90E-07,2.50E-07,9.60E-07,8790442,1.5711E+12,6.0693934,10883,5559,,0,GCZBTC
12,1.5711E+12,2019/10/15,9.60E-07,9.90E-07,2.50E-07,9.10E-07,8655291,1.57118E+12,6.21803102,10757,5494,,0,GCZBTC
13,1.57118E+12,2019/10/16,8.50E-07,9.90E-07,2.50E-07,7.90E-07,8458002,1.57127E+12,6.11606335,10592,5383,,0,GCZBTC
14,1.57127E+12,2019/10/17,7.70E-07,9.90E-07,2.60E-07,9.70E-07,8408223,1.57136E+12,6.17185324,10532,5205,,0,GCZBTC
15,1.57136E+12,2019/10/18,9.70E-07,9.90E-07,2.50E-07,5.30E-07,8167569,1.57144E+12,5.90226689,10164,5079,,0,GCZBTC
16,1.57144E+12,2019/10/19,5.20E-07,9.90E-07,2.50E-07,3.60E-07,8330093,1.57153E+12,6.19557461,10339,5165,,0,GCZBTC
17,1.57153E+12,2019/10/20,3.60E-07,9.90E-07,2.60E-07,5.70E-07,8205951,1.57162E+12,6.10246601,10130,5042,,0,GCZBTC
18,1.57162E+12,2019/10/21,5.50E-07,9.90E-07,2.50E-07,8.70E-07,8431734,1.5717E+12,5.93581618,10460,5224,,0,GCZBTC
