,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1570060800000,2.4e-7,9.9e-7,2e-7,7.2e-7,5141774,1570147199999,3.79654312,6547,3358,,0,SXCBTC
1,1570147200000,7.2e-7,9.9e-7,2.1e-7,7.6e-7,9818760,1570233599999,7.26042477,11942,5923,,0,SXCBTC
2,1570233600000,7.8e-7,9.9e-7,1.8e-7,4.2e-7,9521960,1570319999999,6.29657474,11735,5913,,0,SXCBTC
3,1570320000000,4.2e-7,9.9e-7,1.8e-7,9.8e-7,9244228,1570406399999,6.13487552,11512,5708,,0,SXCBTC
4,1570406400000,9.8e-7,9.9e-7,2.1e-7,9.1e-7,8925655,1570492799999,6.4336964,11167,5453,,0,SXCBTC
5,1570492800000,9.1e-7,9.9e-7,2.7e-7,8.9e-7,8465391,1570579199999,6.4103564,10588,5261,,0,SXCBTC
6,1570579200000,8.9e-7,9.9e-7,2.7e-7,2.7e-7,6657805,1570665599999,4.38287409,8374,4160,,0,SXCBTC
7,1570665600000,3e-7,9.9e-7,2.3e-7,7e-7,8050737,1570751999999,5.16375073,10102,5046,,0,SXCBTC
8,1570752000000,7e-7,9.9e-7,2.3e-7,6.9e-7,9223960,1570838399999,7.30098406,11173,5614,,0,SXCBTC
9,1570838400000,6.9e-7,9.9e-7,2.3e-7,4.4e-7,9305564,1570924799999,6.40167669,11480,5772,,0,SXCBTC
10,1570924800000,4.4e-7,9.9e-7,2.3e-7,9.3e-7,9278701,1571011199999,7.00450487,11519,5802,,0,SXCBTC
11,1571011200000,9.3e-7,9.9e-7,2.3e-7,7e-7,8669709,1571097599999,6.06968085,10917,5511,,0,SXCBTC
12,1571097600000,7e-7,9.9e-7,2.3e-7,9.5e-7,8635046,1571183999999,6.23246917,10677,5312,,0,SXCBTC
13,1571184000000,9.5e-7,9.9e-7,2.3e-7,6.6e-7,8496808,1571270399999,6.1813001,10662,5364,,0,SXCBTC
14,1571270400000,6.6e-7,9.9e-7,2.3e-7,7.4e-7,8401174,1571356799999,6.21993299,10467,5278,,0,SXCBTC
15,1571356800000,7.4e-7,9.9e-7,2.3e-7,8.7e-7,8186647,1571443199999,5.42729695,10155,5097,,0,SXCBTC
16,1571443200000,8.7e-7,9.9e-7,2.5e-7,4.9e-7,8272677,1571529599999,5.63986867,10272,5113,,0,SXCBTC
17,1571529600000,4.9e-7,9.9e-7,2.3e-7,3.7e-7,8288731,1571615999999,5.82849615,10206,5100,,0,SXCBTC
18,1571616000000,3.7e-7,9.9e-7,2.3e-7,8.5e-7,8461430,1571702399999,5.81853435,10560,5223,,0,SXCBTC
19,1571702400000,8.4e-7,9.9e-7,2.3e-7,9.3e-7,8363989,1571788799999,6.05126957,10446,5202,,0,SXCBTC
20,1571788800000,9.4e-7,9.9e-7,2.4e-7,8.1e-7,7898587,1571875199999,5.96989321,9886,4998,,0,SXCBTC
21,1571875200000,8.1e-7,9.9e-7,2.3e-7,9.2e-7,7967459,1571961599999,5.53203773,10025,4989,,0,SXCBTC
22,1571961600000,9.5e-7,9.9e-7,3.7e-7,9.5e-7,7481844,1572047999999,5.89233763,9333,4625,,0,SXCBTC
23,1572048000000,9.5e-7,9.9e-7,3.7e-7,6.8e-7,7425685,1572134399999,5.44461955,9353,4726,,0,SXCBTC
24,1572134400000,6.9e-7,9.9e-7,3.7e-7,8.1e-7,7628266,1572220799999,5.90662884,9514,4716,,0,SXCBTC
25,1572220800000,8.1e-7,9.9e-7,3.9e-7,8.2e-7,6782108,1572307199999,5.17493562,8502,4203,,0,SXCBTC
