,open_time,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1570060800000,2.6e-7,9.9e-7,2.2e-7,3.1e-7,541873,1570147199999,0.36064676,6791,3353,,0,TCZBTC
1,1570147200000,3.5e-7,9.9e-7,2.2e-7,9.3e-7,946884,1570233599999,0.67979542,11945,5927,,0,TCZBTC
2,1570233600000,8.1e-7,9.9e-7,2.2e-7,8.9e-7,954016,1570319999999,0.63860911,11754,5829,,0,TCZBTC
3,1570320000000,9.1e-7,9.9e-7,2.4e-7,5.7e-7,918267,1570406399999,0.72572279,11644,5873,,0,TCZBTC
4,1570406400000,5.8e-7,9.9e-7,2.2e-7,7.1e-7,902975,1570492799999,0.62882996,11073,5507,,0,TCZBTC
5,1570492800000,7.1e-7,9.9e-7,2.4e-7,7.6e-7,841358,1570579199999,0.62976626,10604,5338,,0,TCZBTC
6,1570579200000,7.8e-7,9.9e-7,2.8e-7,9.8e-7,663271,1570665599999,0.54786673,8213,4118,,0,TCZBTC
7,1570665600000,9.8e-7,9.9e-7,2.4e-7,7.1e-7,794051,1570751999999,0.60067257,10129,5026,,0,TCZBTC
8,1570752000000,7.1e-7,9.9e-7,2.4e-7,7.2e-7,902342,1570838399999,0.59408744,11220,5634,,0,TCZBTC
9,1570838400000,7.2e-7,9.9e-7,2.5e-7,5.5e-7,930925,1570924799999,0.58763911,11422,5713,,0,TCZBTC
10,1570924800000,5.5e-7,9.9e-7,2.7e-7,3.5e-7,923053,1571011199999,0.73331333,11455,5843,,0,TCZBTC
11,1571011200000,3.5e-7,9.9e-7,2.7e-7,8.3e-7,867665,1571097599999,0.59604898,10896,5390,,0,TCZBTC
12,1571097600000,8.3e-7,9.9e-7,2.4e-7,4.4e-7,856705,1571183999999,0.64257174,10792,5393,,0,TCZBTC
13,1571184000000,4.4e-7,9.9e-7,2.5e-7,6.7e-7,845932,1571270399999,0.61675179,10609,5283,,0,TCZBTC
14,1571270400000,6.6e-7,9.9e-7,2.4e-7,9.5e-7,828424,1571356799999,0.6031412,10556,5340,,0,TCZBTC
15,1571356800000,9.2e-7,9.9e-7,2.4e-7,9.8e-7,809994,1571443199999,0.54353695,10195,5075,,0,TCZBTC
16,1571443200000,9.8e-7,9.9e-7,2.4e-7,9.2e-7,816560,1571529599999,0.59944711,10296,5130,,0,TCZBTC
17,1571529600000,9.3e-7,9.9e-7,4e-7,7.8e-7,830375,1571615999999,0.66098305,10224,5115,,0,TCZBTC
18,1571616000000,7.8e-7,9.9e-7,3.9e-7,6.3e-7,861767,1571702399999,0.66461999,10571,5374,,0,TCZBTC
19,1571702400000,6.7e-7,9.9e-7,3.8e-7,6.9e-7,858645,1571788799999,0.63999577,10451,5215,,0,TCZBTC
20,1571788800000,6.9e-7,9.9e-7,3.8e-7,9.4e-7,790239,1571875199999,0.63185222,9915,4895,,0,TCZBTC
21,1571875200000,9.2e-7,9.9e-7,3.8e-7,9.8e-7,817795,1571961599999,0.65565516,10031,4972,,0,TCZBTC
22,1571961600000,9.7e-7,9.9e-7,3.8e-7,8.4e-7,744166,1572047999999,0.54481887,9266,4670,,0,TCZBTC
23,1572048000000,8.4e-7,9.9e-7,3.8e-7,7.8e-7,757372,1572134399999,0.56006808,9331,4544,,0,TCZBTC
24,1572134400000,7.9e-7,9.9e-7,3.8e-7,5.9e-7,764516,1572220799999,0.60243782,9472,4793,,0,TCZBTC
25,1572220800000,5.8e-7,9.9e-7,3.9e-7,7.8e-7,686856,1572307199999,0.52278542,8564,4238,,0,TCZBTC
26,1572307200000,8.2e-7,9.9e-7,3.8e-7,5e-7,749150,1572393599999,0.59944087,9329,4687,,0,TCZBTC
27,1572393600000,5.1e-7,9.9e-7,3.9e-7,9.4e-7,882353,1572479999999,0.67271809,11305,5661,,0,TCZBTC
28,1572480000000,9.3e-7,9.9e-7,3.8e-7,8.4e-7,895933,1572566399999,0.69355189,11230,5663,,0,TCZBTC
29,1572566400000,8.4e-7,9.9e-7,3.8e-7,7.6e-7,836952,1572652799999,0.58167092,10490,5187,,0,TCZBTC
30,1572652800000,7.6e-7,9.9e-7,3.8e-7,9.6e-7,774212,1572739199999,0.61266715,9699,4837,,0,TCZBTC
31,1572739200000,9.6e-7,9.9e-7,3.8e-7,8.9e-7,862125,1572825599999,0.71508467,10767,5432,,0,TCZBTC
32,1572825600000,8.9e-7,9.9e-7,4e-7,7.9e-7,905279,1572911999999,0.69349731,11299,5674,,0,TCZBTC
33,1572912000000,7.8e-7,9.9e-7,3.8e-7,6.3e-7,884706,1572998399999,0.67792989,11080,5503,,0,TCZBTC
34,1572998400000,6.3e-7,9.9e-7,3.8e-7,7.2e-7,787514,1573084799999,0.60113875,9968,5024,,0,TCZBTC
35,1573084800000,7.2e-7,9.9e-7,3.8e-7,8e-7,825739,1573171199999,0.62458467,10341,5222,,0,TCZBTC
36,1573171200000,7.7e-7,9.9e-7,3.9e-7,9.3e-7,863912,1573257599999,0.69150669,10561,5293,,0,TCZBTC
