,open_time,,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
0,1.55667E+12,2019/5/1,0.1136,0.1348,0.1022,0.116,432721.89,1.55676E+12,49902.09766,4970,2477,,0,VDUSDT
1,1.55676E+12,2019/5/2,0.116,0.2131,0.1064,0.1378,447501.48,1.55684E+12,62394.32464,4991,2507,,0,VDUSDT
2,1.55684E+12,2019/5/3,0.1358,0.1848,0.12,0.1472,393545.32,1.55693E+12,67258.72287,4467,2256,,0,VDUSDT
3,1.55693E+12,2019/5/4,0.1437,0.1536,0.105,0.1305,358523.35,1.55701E+12,48598.74402,4117,2048,,0,VDUSDT
4,1.55701E+12,2019/5/5,0.1343,0.1497,0.1057,0.1358,446249.05,1.5571E+12,60759.07233,5050,2564,,0,VDUSDT
5,1.5571E+12,2019/5/6,0.1358,0.1729,0.1093,0.1624,433506.95,1.55719E+12,63612.71987,4810,2356,,0,VDUSDT
6,1.55719E+12,2019/5/7,0.1634,0.1729,0.1453,0.1503,442438.7,1.55727E+12,72970.49912,4793,2425,,0,VDUSDT
7,1.55727E+12,2019/5/8,0.1503,0.1699,0.145,0.1651,423268.51,1.55736E+12,69805.02077,4618,2329,,0,VDUSDT
8,1.55736E+12,2019/5/9,0.1651,0.3132,0.1451,0.241,464127.89,1.55745E+12,79256.8897,5044,2552,,0,VDUSDT
9,1.55745E+12,2019/5/10,0.241,0.2567,0.1209,0.1389,463938.65,1.55753E+12,92345.8578,5036,2580,,0,VDUSDT
10,1.55753E+12,2019/5/11,0.1389,0.2159,0.1148,0.1413,445993.58,1.55762E+12,75387.32794,4901,2440,,0,VDUSDT
11,1.55762E+12,2019/5/12,0.1413,0.1899,0.12,0.1667,449438.67,1.55771E+12,68208.07204,4972,2508,,0,VDUSDT
12,1.55771E+12,2019/5/13,0.1667,0.1766,0.1209,0.1677,446283.41,1.55779E+12,71863.44247,4912,2384,,0,VDUSDT
13,1.55779E+12,2019/5/14,0.1679,0.1688,0.1317,0.159,421955.42,1.55788E+12,67747.91764,4874,2456,,0,VDUSDT
14,1.55788E+12,2019/5/15,0.159,0.1664,0.1247,0.1533,430625.87,1.55796E+12,67446.1901,4905,2411,,0,VDUSDT
15,1.55796E+12,2019/5/16,0.1547,0.1625,0.1284,0.1548,440064.2,1.55805E+12,68294.58706,4976,2425,,0,VDUSDT
16,1.55805E+12,2019/5/17,0.1548,0.1592,0.1061,0.1427,435627.8408,1.55814E+12,59498.41256,4816,2418,,0,VDUSDT
17,1.55814E+12,2019/5/18,0.1441,0.145,0.1064,0.1222,433103.05,1.55822E+12,56764.15719,4994,2481,,0,VDUSDT
18,1.55822E+12,2019/5/19,0.1222,0.1324,0.1057,0.1292,428702.7,1.55831E+12,53726.0034,4839,2380,,0,VDUSDT
19,1.55831E+12,2019/5/20,0.1314,0.1324,0.1074,0.1201,440753.59,1.5584E+12,54941.94219,4922,2489,,0,VDUSDT
20,1.5584E+12,2019/5/21,0.1201,0.1286,0.1101,0.1222,427468.14,1.55848E+12,52876.32254,4847,2400,,0,VDUSDT
21,1.55848E+12,2019/5/22,0.1222,0.1286,0.109,0.1278,439387.06,1.55857E+12,54111.32103,4878,2449,,0,VDUSDT
22,1.55857E+12,2019/5/23,0.1278,0.1286,0.1083,0.1188,304966.13,1.55866E+12,37379.53945,3338,1685,,0,VDUSDT
